city,state,house_size,bed,bath,price
Chicago,Illinois,5100.0,5.0,6.0,1325000.0
Chicago,Illinois,1600.0,2.0,2.0,374900.0
Chicago,Illinois,700.0,1.0,1.0,154000.0
Chicago,Illinois,967.0,3.0,2.0,329900.0
Chicago,Illinois,1000.0,2.0,1.0,164900.0
Chicago,Illinois,1200.0,2.0,2.0,220000.0
Chicago,Illinois,1600.0,3.0,2.0,459900.0
Chicago,Illinois,,3.0,2.0,310000.0
Chicago,Illinois,692.0,1.0,1.0,120000.0
Chicago,Illinois,,2.0,2.0,269000.0
Chicago,Illinois,600.0,,1.0,110000.0
Chicago,Illinois,3000.0,3.0,3.0,699000.0
Chicago,Illinois,,2.0,2.0,510000.0
Chicago,Illinois,1600.0,2.0,2.0,359000.0
Chicago,Illinois,1500.0,2.0,1.0,385000.0
Chicago,Illinois,1079.0,2.0,1.0,110000.0
Chicago,Illinois,,,,25000.0
Chicago,Illinois,,,,12000.0
Chicago,Illinois,806.0,1.0,1.0,139900.0
Chicago,Illinois,1050.0,2.0,1.0,179900.0
Chicago,Illinois,600.0,1.0,1.0,115000.0
Chicago,Illinois,3350.0,5.0,3.0,650000.0
Chicago,Illinois,,2.0,2.0,211000.0
Chicago,Illinois,,,,375000.0
Chicago,Illinois,,,,499999.0
Chicago,Illinois,2320.0,5.0,3.0,430000.0
Chicago,Illinois,,3.0,1.0,269000.0
Chicago,Illinois,,,,699000.0
Chicago,Illinois,,2.0,2.0,379000.0
Chicago,Illinois,3494.0,6.0,5.0,629000.0
Chicago,Illinois,800.0,2.0,1.0,76000.0
Chicago,Illinois,727.0,1.0,1.0,115000.0
Chicago,Illinois,1250.0,2.0,1.0,149000.0
Chicago,Illinois,,2.0,2.0,255000.0
Chicago,Illinois,1988.0,4.0,2.0,439900.0
Chicago,Illinois,900.0,2.0,2.0,160000.0
Chicago,Illinois,1000.0,3.0,2.0,269000.0
Chicago,Illinois,,,,1349000.0
Chicago,Illinois,900.0,3.0,1.0,127500.0
Chicago,Illinois,1000.0,3.0,1.0,129000.0
Chicago,Illinois,,4.0,4.0,349900.0
Chicago,Illinois,1640.0,4.0,2.0,299900.0
Chicago,Illinois,600.0,1.0,1.0,120000.0
Chicago,Illinois,,2.0,2.0,179000.0
Chicago,Illinois,1100.0,2.0,2.0,164900.0
Chicago,Illinois,1200.0,2.0,2.0,159900.0
Chicago,Illinois,950.0,1.0,1.0,160000.0
Chicago,Illinois,1100.0,2.0,2.0,194500.0
Chicago,Illinois,1149.0,2.0,1.0,215000.0
Chicago,Illinois,3852.0,5.0,4.0,930000.0
Chicago,Illinois,,,,229900.0
Chicago,Illinois,,,,2250000.0
Chicago,Illinois,,7.0,3.0,468000.0
Chicago,Illinois,1500.0,2.0,2.0,185000.0
Chicago,Illinois,924.0,4.0,2.0,419900.0
Chicago,Illinois,800.0,1.0,1.0,140000.0
Chicago,Illinois,700.0,1.0,1.0,108900.0
Chicago,Illinois,900.0,1.0,1.0,149900.0
Chicago,Illinois,,1.0,2.0,164000.0
Chicago,Illinois,750.0,1.0,1.0,115000.0
Chicago,Illinois,,2.0,2.0,155000.0
Chicago,Illinois,900.0,1.0,1.0,118000.0
Chicago,Illinois,,9.0,3.0,659900.0
Chicago,Illinois,1250.0,2.0,2.0,265000.0
Chicago,Illinois,,1.0,1.0,165000.0
Chicago,Illinois,2812.0,6.0,4.0,629900.0
Chicago,Illinois,1385.0,2.0,2.0,289000.0
Chicago,Illinois,2300.0,5.0,3.0,725000.0
Chicago,Illinois,900.0,2.0,1.0,80000.0
Chicago,Illinois,800.0,2.0,2.0,149000.0
Chicago,Illinois,,2.0,1.0,169000.0
Chicago,Illinois,1000.0,2.0,2.0,189000.0
Chicago,Illinois,1025.0,3.0,2.0,200000.0
Chicago,Illinois,,2.0,2.0,195000.0
Chicago,Illinois,600.0,1.0,1.0,105000.0
Chicago,Illinois,,4.0,2.0,649900.0
Chicago,Illinois,794.0,1.0,1.0,149900.0
Chicago,Illinois,,1.0,1.0,161000.0
Chicago,Illinois,1600.0,3.0,2.0,320000.0
Chicago,Illinois,,2.0,1.0,155000.0
Chicago,Illinois,2200.0,3.0,2.0,469900.0
Chicago,Illinois,,2.0,1.0,149900.0
Chicago,Illinois,700.0,1.0,1.0,94000.0
Chicago,Illinois,,1.0,2.0,114900.0
Chicago,Illinois,750.0,1.0,1.0,169000.0
Chicago,Illinois,,6.0,4.0,489900.0
Chicago,Illinois,1000.0,2.0,2.0,126900.0
Chicago,Illinois,,2.0,1.0,155000.0
Chicago,Illinois,,2.0,1.0,125000.0
Chicago,Illinois,2367.0,3.0,2.0,469000.0
Chicago,Illinois,4259.0,5.0,4.0,680000.0
Chicago,Illinois,1620.0,3.0,2.0,349900.0
Chicago,Illinois,1325.0,3.0,3.0,484770.0
Chicago,Illinois,3400.0,4.0,4.0,879000.0
Chicago,Illinois,1646.0,3.0,2.0,375000.0
Chicago,Illinois,1600.0,9.0,6.0,648000.0
Chicago,Illinois,,,,825000.0
Chicago,Illinois,778.0,2.0,1.0,145900.0
Chicago,Illinois,960.0,1.0,1.0,129900.0
Chicago,Illinois,1200.0,2.0,2.0,162900.0
Chicago,Illinois,,2.0,2.0,150000.0
Chicago,Illinois,788.0,1.0,1.0,99500.0
Chicago,Illinois,775.0,1.0,1.0,105000.0
Chicago,Illinois,2126.0,3.0,1.0,374999.0
Chicago,Illinois,,4.0,2.0,475000.0
Chicago,Illinois,1100.0,2.0,1.0,209900.0
Chicago,Illinois,800.0,1.0,1.0,109999.0
Chicago,Illinois,,3.0,2.0,299500.0
Chicago,Illinois,1620.0,3.0,2.0,349900.0
Chicago,Illinois,,2.0,2.0,230000.0
Chicago,Illinois,,6.0,4.0,625000.0
Chicago,Illinois,3950.0,4.0,4.0,1089000.0
Chicago,Illinois,825.0,1.0,1.0,150000.0
Chicago,Illinois,,2.0,2.0,130000.0
Chicago,Illinois,,2.0,2.0,130000.0
Chicago,Illinois,1834.0,4.0,4.0,779900.0
Chicago,Illinois,800.0,1.0,2.0,123800.0
Chicago,Illinois,1000.0,2.0,1.0,134900.0
Chicago,Illinois,1100.0,2.0,1.0,129900.0
Chicago,Illinois,,2.0,2.0,249999.0
Chicago,Illinois,,2.0,1.0,130000.0
Chicago,Illinois,565.0,,1.0,99900.0
Chicago,Illinois,1200.0,2.0,2.0,164900.0
Chicago,Illinois,,2.0,1.0,175000.0
Chicago,Illinois,1250.0,2.0,1.0,169000.0
Chicago,Illinois,1050.0,2.0,1.0,165000.0
Chicago,Illinois,1200.0,2.0,2.0,229000.0
Chicago,Illinois,,4.0,5.0,1300000.0
Chicago,Illinois,,1.0,1.0,239000.0
Chicago,Illinois,,,,899000.0
Chicago,Illinois,,2.0,1.0,149900.0
Chicago,Illinois,,2.0,2.0,130000.0
Chicago,Illinois,,2.0,2.0,130000.0
Chicago,Illinois,,1.0,1.0,135000.0
Chicago,Illinois,465.0,,1.0,94900.0
Chicago,Illinois,900.0,2.0,1.0,160000.0
Chicago,Illinois,750.0,1.0,1.0,129999.0
Chicago,Illinois,975.0,1.0,1.0,214999.0
Chicago,Illinois,1600.0,3.0,3.0,249900.0
Chicago,Illinois,1130.0,2.0,1.0,173900.0
Chicago,Illinois,2874.0,6.0,4.0,999999.0
Chicago,Illinois,3017.0,4.0,4.0,774900.0
Chicago,Illinois,850.0,1.0,1.0,219900.0
Chicago,Illinois,1200.0,2.0,2.0,249900.0
Chicago,Illinois,1500.0,3.0,2.0,389000.0
Chicago,Illinois,,2.0,1.0,176900.0
Chicago,Illinois,,10.0,7.0,986900.0
Chicago,Illinois,,1.0,1.0,145000.0
Chicago,Illinois,825.0,1.0,1.0,179900.0
Chicago,Illinois,,1.0,2.0,155000.0
Chicago,Illinois,2344.0,3.0,2.0,499000.0
Chicago,Illinois,1833.0,3.0,3.0,465000.0
Chicago,Illinois,1855.0,5.0,4.0,450000.0
Chicago,Illinois,1001.0,1.0,1.0,239000.0
Chicago,Illinois,,6.0,4.0,724999.0
Chicago,Illinois,,3.0,2.0,229900.0
Chicago,Illinois,900.0,1.0,1.0,114000.0
Chicago,Illinois,1050.0,1.0,1.0,99000.0
Chicago,Illinois,1100.0,2.0,1.0,147000.0
Chicago,Illinois,,8.0,4.0,678000.0
Chicago,Illinois,1332.0,2.0,1.0,190000.0
Chicago,Illinois,,2.0,1.0,144000.0
Chicago,Illinois,1950.0,5.0,3.0,340000.0
Chicago,Illinois,1050.0,2.0,2.0,174900.0
Chicago,Illinois,800.0,1.0,1.0,145000.0
Chicago,Illinois,2502.0,8.0,5.0,680000.0
Chicago,Illinois,,,,175000.0
Chicago,Illinois,,1.0,1.0,275000.0
Chicago,Illinois,800.0,2.0,1.0,190000.0
Chicago,Illinois,,1.0,2.0,126000.0
Chicago,Illinois,,5.0,3.0,400000.0
Chicago,Illinois,565.0,,1.0,124900.0
Chicago,Illinois,525.0,1.0,1.0,128999.0
Chicago,Illinois,900.0,1.0,1.0,140000.0
Chicago,Illinois,1144.0,3.0,1.0,279000.0
Chicago,Illinois,1300.0,2.0,2.0,239900.0
Chicago,Illinois,1400.0,2.0,2.0,325000.0
Chicago,Illinois,850.0,2.0,1.0,225000.0
Chicago,Illinois,,,,369000.0
Chicago,Illinois,3300.0,3.0,4.0,1300000.0
Chicago,Illinois,1200.0,2.0,2.0,229900.0
Chicago,Illinois,1500.0,2.0,2.0,264000.0
Chicago,Illinois,,4.0,2.0,530000.0
Chicago,Illinois,750.0,1.0,1.0,95000.0
Chicago,Illinois,1200.0,4.0,2.0,319900.0
Chicago,Illinois,1056.0,2.0,1.0,175000.0
Chicago,Illinois,850.0,1.0,1.0,109000.0
Chicago,Illinois,,5.0,3.0,449000.0
Chicago,Illinois,,3.0,2.0,220000.0
Chicago,Illinois,1452.0,2.0,2.0,295000.0
Chicago,Illinois,1400.0,3.0,2.0,235000.0
Chicago,Illinois,700.0,1.0,1.0,139000.0
Chicago,Illinois,1000.0,2.0,1.0,215000.0
Chicago,Illinois,,3.0,3.0,349000.0
Chicago,Illinois,,3.0,3.0,479500.0
Chicago,Illinois,2000.0,3.0,3.0,569900.0
Chicago,Illinois,5931.0,10.0,9.0,1800000.0
Chicago,Illinois,1100.0,2.0,1.0,115000.0
Chicago,Illinois,700.0,2.0,1.0,144500.0
Chicago,Illinois,800.0,2.0,1.0,135000.0
Chicago,Illinois,,2.0,1.0,130000.0
Chicago,Illinois,700.0,1.0,1.0,126500.0
Chicago,Illinois,875.0,2.0,1.0,139900.0
Chicago,Illinois,8600.0,6.0,5.0,2200000.0
Chicago,Illinois,700.0,1.0,1.0,134900.0
Chicago,Illinois,1006.0,3.0,1.0,167200.0
Chicago,Illinois,,3.0,2.0,425000.0
Chicago,Illinois,,3.0,2.0,349900.0
Chicago,Illinois,2300.0,5.0,3.0,629000.0
Chicago,Illinois,3100.0,8.0,5.0,1025000.0
Chicago,Illinois,2100.0,4.0,3.0,474900.0
Chicago,Illinois,,2.0,2.0,349900.0
Chicago,Illinois,2196.0,3.0,2.0,349900.0
Chicago,Illinois,570.0,1.0,1.0,118000.0
Chicago,Illinois,,1.0,1.0,129900.0
Chicago,Illinois,825.0,1.0,1.0,120000.0
Chicago,Illinois,1026.0,2.0,2.0,275000.0
Chicago,Illinois,,5.0,4.0,570000.0
Chicago,Illinois,1460.0,2.0,2.0,250000.0
Chicago,Illinois,740.0,2.0,1.0,150000.0
Chicago,Illinois,1600.0,3.0,1.0,349900.0
Chicago,Illinois,3778.0,5.0,3.0,414000.0
Chicago,Illinois,,4.0,3.0,650000.0
Chicago,Illinois,,3.0,2.0,550000.0
Chicago,Illinois,,3.0,2.0,225000.0
Chicago,Illinois,1195.0,3.0,1.0,224999.0
Chicago,Illinois,,,,1250000.0
Chicago,Illinois,,,,225000.0
Chicago,Illinois,1482.0,2.0,2.0,319000.0
Chicago,Illinois,800.0,1.0,1.0,166000.0
Chicago,Illinois,,2.0,2.0,252000.0
Chicago,Illinois,980.0,1.0,1.0,139500.0
Chicago,Illinois,,3.0,3.0,650000.0
Chicago,Illinois,2500.0,3.0,3.0,618000.0
Chicago,Illinois,3050.0,3.0,3.0,838900.0
Chicago,Illinois,1862.0,3.0,3.0,639900.0
Chicago,Illinois,4290.0,6.0,4.0,725000.0
Chicago,Illinois,,3.0,3.0,519000.0
Chicago,Illinois,,2.0,2.0,495000.0
