city,state,house_size,bed,bath,price
Los Angeles,California,1574.0,3.0,3.0,260000.0
Los Angeles,California,816.0,2.0,1.0,439000.0
Los Angeles,California,886.0,2.0,1.0,500000.0
Los Angeles,California,1549.0,,,679000.0
Los Angeles,California,1290.0,4.0,1.0,580000.0
Los Angeles,California,864.0,2.0,1.0,490000.0
Los Angeles,California,1679.0,3.0,1.0,560000.0
Los Angeles,California,1538.0,3.0,1.0,550000.0
Los Angeles,California,720.0,2.0,1.0,515000.0
Los Angeles,California,1008.0,3.0,1.0,580000.0
Los Angeles,California,432.0,2.0,2.0,469900.0
Los Angeles,California,2438.0,4.0,4.0,788800.0
Los Angeles,California,2200.0,5.0,6.0,699900.0
Los Angeles,California,1952.0,6.0,5.0,910600.0
Los Angeles,California,3908.0,9.0,3.0,995000.0
Los Angeles,California,2060.0,5.0,3.0,759900.0
Los Angeles,California,2589.0,32.0,16.0,1099999.0
Los Angeles,California,1236.0,2.0,2.0,515000.0
Los Angeles,California,1531.0,4.0,2.0,657000.0
Los Angeles,California,1078.0,2.0,1.0,599000.0
Los Angeles,California,1600.0,3.0,2.0,599999.0
Los Angeles,California,898.0,3.0,3.0,599000.0
Los Angeles,California,2135.0,4.0,3.0,719999.0
Los Angeles,California,432.0,1.0,1.0,399999.0
Los Angeles,California,3194.0,4.0,4.0,895000.0
Los Angeles,California,1084.0,3.0,2.0,550000.0
Los Angeles,California,1681.0,7.0,2.0,705000.0
Los Angeles,California,1400.0,3.0,2.0,740000.0
Los Angeles,California,1760.0,4.0,2.0,595000.0
Los Angeles,California,1596.0,7.0,4.0,675000.0
Los Angeles,California,942.0,3.0,1.0,545000.0
Los Angeles,California,1600.0,4.0,2.0,699999.0
Los Angeles,California,1235.0,4.0,2.0,650000.0
Los Angeles,California,1121.0,2.0,1.0,675000.0
Los Angeles,California,1355.0,3.0,1.0,629500.0
Los Angeles,California,3360.0,9.0,5.0,1050000.0
Los Angeles,California,1760.0,4.0,3.0,660000.0
Los Angeles,California,1000.0,3.0,1.0,574999.0
Los Angeles,California,1230.0,4.0,2.0,592000.0
Los Angeles,California,1564.0,4.0,3.0,649999.0
Los Angeles,California,3780.0,10.0,6.0,1149900.0
Los Angeles,California,1234.0,5.0,,799000.0
Los Angeles,California,2100.0,,3.0,399999.0
Los Angeles,California,1312.0,3.0,2.0,549999.0
Los Angeles,California,1434.0,3.0,3.0,639000.0
Los Angeles,California,1428.0,2.0,2.0,499999.0
Los Angeles,California,1800.0,3.0,1.0,600000.0
Los Angeles,California,1508.0,3.0,2.0,599000.0
Los Angeles,California,630.0,2.0,1.0,435000.0
Los Angeles,California,2234.0,5.0,3.0,650000.0
Los Angeles,California,2520.0,6.0,4.0,825000.0
Los Angeles,California,3766.0,10.0,6.0,1200000.0
Los Angeles,California,628.0,2.0,1.0,459000.0
Los Angeles,California,2581.0,7.0,3.0,785000.0
Los Angeles,California,1072.0,2.0,1.0,560000.0
Los Angeles,California,1464.0,3.0,1.0,450000.0
Los Angeles,California,1998.0,,,699000.0
Los Angeles,California,2292.0,6.0,2.0,795000.0
Los Angeles,California,2622.0,6.0,4.0,799000.0
Los Angeles,California,1434.0,4.0,2.0,650000.0
Los Angeles,California,1032.0,3.0,1.0,475000.0
Los Angeles,California,550.0,2.0,1.0,470000.0
Los Angeles,California,2652.0,4.0,4.0,749988.0
Los Angeles,California,1601.0,4.0,2.0,675000.0
Los Angeles,California,2334.0,4.0,3.0,579000.0
Los Angeles,California,2162.0,6.0,3.0,760000.0
Los Angeles,California,1478.0,4.0,3.0,748888.0
Los Angeles,California,1944.0,4.0,4.0,799000.0
Los Angeles,California,,,,989000.0
Los Angeles,California,,,,449000.0
Los Angeles,California,1314.0,6.0,2.0,320000.0
Los Angeles,California,1838.0,5.0,2.0,225000.0
Los Angeles,California,456.0,1.0,1.0,295000.0
Los Angeles,California,1140.0,3.0,1.0,479000.0
Los Angeles,California,2340.0,4.0,3.0,750000.0
Los Angeles,California,1887.0,4.0,3.0,599999.0
Los Angeles,California,772.0,2.0,1.0,405000.0
Los Angeles,California,1628.0,4.0,2.0,599000.0
Los Angeles,California,1699.0,4.0,2.0,550000.0
Los Angeles,California,1678.0,4.0,2.0,599000.0
Los Angeles,California,1330.0,4.0,2.0,609000.0
Los Angeles,California,1552.0,3.0,3.0,635000.0
Los Angeles,California,2888.0,6.0,3.0,1360000.0
Los Angeles,California,1884.0,3.0,2.0,1849000.0
Los Angeles,California,965.0,2.0,1.0,539000.0
Los Angeles,California,1160.0,2.0,2.0,595000.0
Los Angeles,California,6111.0,11.0,7.0,2100000.0
Los Angeles,California,3405.0,5.0,5.0,2189000.0
Los Angeles,California,1232.0,2.0,2.0,659000.0
Los Angeles,California,1322.0,2.0,2.0,599000.0
Los Angeles,California,11059.0,7.0,10.0,11900000.0
Los Angeles,California,2753.0,4.0,2.0,1600000.0
Los Angeles,California,5346.0,9.0,8.0,2100000.0
Los Angeles,California,948.0,2.0,2.0,639000.0
Los Angeles,California,935.0,2.0,2.0,598000.0
Los Angeles,California,537.0,,1.0,429999.0
Los Angeles,California,463.0,,1.0,399999.0
Los Angeles,California,1341.0,2.0,3.0,840000.0
Los Angeles,California,1546.0,2.0,2.0,785000.0
