city,state,house_size,bed,bath,price
New York,New York,,2.0,2.0,1185000.0
New York,New York,8528.0,12.0,14.0,29995000.0
New York,New York,1425.0,2.0,2.0,895000.0
New York,New York,1166.0,1.0,2.0,985000.0
New York,New York,761.0,1.0,1.0,810000.0
New York,New York,,2.0,2.0,740000.0
New York,New York,,1.0,1.0,485000.0
New York,New York,,2.0,2.0,899000.0
New York,New York,,3.0,1.0,1550000.0
New York,New York,3596.0,3.0,5.0,10750000.0
New York,New York,,1.0,1.0,990000.0
New York,New York,,2.0,2.0,1395000.0
New York,New York,,1.0,1.0,665000.0
New York,New York,,1.0,1.0,1335000.0
New York,New York,715.0,1.0,1.0,865000.0
New York,New York,,1.0,1.0,415000.0
New York,New York,650.0,1.0,1.0,760000.0
New York,New York,1459.0,2.0,3.0,2685000.0
New York,New York,2379.0,3.0,4.0,6895000.0
New York,New York,2650.0,4.0,5.0,5395000.0
New York,New York,2028.0,2.0,3.0,6050000.0
New York,New York,1829.0,3.0,3.0,3150000.0
New York,New York,825.0,1.0,1.0,419000.0
New York,New York,800.0,1.0,1.0,850000.0
New York,New York,,2.0,2.0,1499000.0
New York,New York,1335.0,2.0,2.0,2450000.0
New York,New York,850.0,1.0,2.0,1150000.0
New York,New York,,2.0,2.0,1495000.0
New York,New York,1591.0,3.0,3.0,4395000.0
New York,New York,,2.0,1.0,449000.0
New York,New York,,1.0,1.0,745000.0
New York,New York,,,1.0,565000.0
New York,New York,,2.0,1.0,785000.0
New York,New York,,1.0,1.0,622500.0
New York,New York,,,1.0,625000.0
New York,New York,,3.0,4.0,9500000.0
New York,New York,,2.0,2.0,1750000.0
New York,New York,,3.0,3.0,2400000.0
New York,New York,,2.0,2.0,7250000.0
New York,New York,,1.0,1.0,950000.0
New York,New York,,2.0,2.0,3295000.0
New York,New York,,3.0,3.0,3199000.0
New York,New York,,3.0,2.0,1495000.0
New York,New York,,3.0,3.0,3395000.0
New York,New York,950.0,1.0,1.0,1195000.0
New York,New York,730.0,1.0,1.0,699000.0
New York,New York,791.0,1.0,2.0,1325000.0
New York,New York,1082.0,2.0,2.0,995000.0
New York,New York,4800.0,5.0,6.0,8995000.0
New York,New York,630.0,1.0,1.0,899880.0
New York,New York,1950.0,3.0,3.0,1900000.0
New York,New York,,5.0,5.0,4350000.0
New York,New York,4003.0,3.0,3.0,4395000.0
New York,New York,,1.0,1.0,1150000.0
New York,New York,2902.0,3.0,4.0,9850000.0
New York,New York,1054.0,1.0,2.0,1290000.0
New York,New York,,1.0,2.0,1295000.0
New York,New York,1562.0,2.0,3.0,2399500.0
New York,New York,1375.0,3.0,2.0,1795000.0
New York,New York,,1.0,2.0,740000.0
New York,New York,,,1.0,565000.0
New York,New York,,,1.0,325000.0
New York,New York,,,1.0,275000.0
New York,New York,,1.0,1.0,499000.0
New York,New York,,1.0,1.0,725000.0
New York,New York,,,1.0,360000.0
New York,New York,,2.0,2.0,1250000.0
New York,New York,,,1.0,299000.0
New York,New York,,1.0,1.0,950000.0
New York,New York,,2.0,2.0,1295000.0
New York,New York,,1.0,1.0,875000.0
New York,New York,860.0,1.0,1.0,650000.0
New York,New York,,2.0,2.0,1245000.0
New York,New York,,1.0,1.0,995000.0
New York,New York,,7.0,6.0,11378052.0
New York,New York,10964.0,11.0,11.0,25995000.0
New York,New York,,2.0,2.0,1495000.0
New York,New York,,2.0,1.0,1250000.0
New York,New York,,5.0,6.0,17500000.0
New York,New York,,3.0,3.0,2275000.0
New York,New York,,3.0,3.0,3350000.0
New York,New York,,3.0,4.0,3495000.0
New York,New York,,4.0,3.0,3350000.0
New York,New York,,2.0,3.0,3295000.0
New York,New York,2350.0,2.0,2.0,3200000.0
New York,New York,745.0,1.0,1.0,1200000.0
New York,New York,,3.0,2.0,1925000.0
New York,New York,,1.0,1.0,1650000.0
New York,New York,1491.0,2.0,2.0,2195000.0
New York,New York,2850.0,4.0,4.0,5995000.0
New York,New York,2018.0,3.0,2.0,2850000.0
New York,New York,3009.0,3.0,4.0,6250000.0
New York,New York,3007.0,3.0,3.0,6450000.0
New York,New York,1462.0,2.0,2.0,2275000.0
New York,New York,,3.0,2.0,2650000.0
New York,New York,864.0,1.0,2.0,1549000.0
New York,New York,1021.0,1.0,2.0,3875000.0
New York,New York,685.0,1.0,1.0,1295000.0
New York,New York,,1.0,1.0,570000.0
New York,New York,,1.0,2.0,675000.0
New York,New York,,,1.0,340000.0
New York,New York,,1.0,2.0,950000.0
New York,New York,,2.0,1.0,750000.0
New York,New York,,2.0,1.0,945000.0
New York,New York,,1.0,1.0,840000.0
New York,New York,670.0,1.0,1.0,745000.0
New York,New York,,3.0,3.0,2795000.0
New York,New York,,2.0,2.0,1995000.0
New York,New York,,2.0,2.0,6450000.0
New York,New York,,3.0,4.0,5850000.0
New York,New York,,1.0,1.0,1295000.0
New York,New York,,4.0,4.0,6595000.0
New York,New York,1350.0,2.0,2.0,2325000.0
New York,New York,,2.0,2.0,2325000.0
New York,New York,4825.0,6.0,7.0,14500000.0
New York,New York,5700.0,5.0,7.0,27500000.0
New York,New York,2527.0,3.0,4.0,11000000.0
New York,New York,1677.0,3.0,3.0,2785000.0
New York,New York,,2.0,3.0,4995000.0
New York,New York,1000.0,2.0,1.0,950000.0
New York,New York,1100.0,2.0,2.0,2250000.0
New York,New York,3600.0,5.0,5.0,7000000.0
New York,New York,1034.0,2.0,2.0,1950000.0
New York,New York,1459.0,2.0,3.0,2700000.0
New York,New York,2133.0,3.0,3.0,4800000.0
New York,New York,2156.0,3.0,3.0,3995000.0
New York,New York,1090.0,2.0,2.0,1950000.0
New York,New York,1699.0,3.0,3.0,2495000.0
New York,New York,2845.0,4.0,4.0,6495000.0
New York,New York,,,1.0,315000.0
New York,New York,2750.0,4.0,4.0,3660000.0
New York,New York,,2.0,2.0,1325000.0
New York,New York,,,1.0,699000.0
New York,New York,750.0,1.0,1.0,675000.0
New York,New York,1440.0,3.0,2.0,2250000.0
New York,New York,2418.0,2.0,3.0,12950000.0
New York,New York,1200.0,2.0,2.0,1450000.0
New York,New York,,1.0,1.0,675000.0
New York,New York,1963.0,2.0,3.0,4350000.0
New York,New York,,2.0,1.0,549000.0
New York,New York,,3.0,6.0,22000000.0
New York,New York,1276.0,2.0,2.0,1350000.0
New York,New York,2200.0,2.0,3.0,1750000.0
New York,New York,,1.0,1.0,950000.0
New York,New York,1590.0,2.0,2.0,2499000.0
New York,New York,870.0,1.0,1.0,749000.0
New York,New York,,3.0,3.0,4650000.0
New York,New York,,1.0,1.0,740000.0
New York,New York,,3.0,4.0,2650000.0
New York,New York,5335.0,5.0,6.0,11000000.0
New York,New York,,6.0,6.0,3800000.0
New York,New York,1250.0,2.0,3.0,1525000.0
New York,New York,,4.0,4.0,7900000.0
New York,New York,,1.0,1.0,500000.0
New York,New York,7130.0,4.0,6.0,66000000.0
New York,New York,4000.0,4.0,3.0,7600000.0
New York,New York,4768.0,4.0,6.0,17995000.0
New York,New York,2900.0,2.0,2.0,4100000.0
New York,New York,700.0,1.0,1.0,695000.0
New York,New York,,2.0,2.0,1800000.0
New York,New York,,2.0,1.0,1650000.0
New York,New York,,3.0,3.0,4995000.0
New York,New York,,2.0,2.0,1695000.0
New York,New York,,1.0,2.0,1250000.0
New York,New York,550.0,,1.0,575000.0
New York,New York,500.0,,1.0,595000.0
New York,New York,1589.0,2.0,3.0,4500000.0
New York,New York,1050.0,1.0,2.0,1350000.0
New York,New York,,2.0,2.0,5250000.0
New York,New York,1100.0,1.0,1.0,1080000.0
New York,New York,,,1.0,425000.0
New York,New York,,2.0,2.0,1250000.0
New York,New York,500.0,,1.0,499000.0
New York,New York,,1.0,1.0,950000.0
New York,New York,,1.0,1.0,530000.0
New York,New York,,1.0,1.0,635000.0
New York,New York,,1.0,1.0,699000.0
New York,New York,350.0,,1.0,350000.0
New York,New York,,3.0,2.0,895000.0
New York,New York,,,1.0,699000.0
New York,New York,2652.0,3.0,4.0,7995000.0
New York,New York,2724.0,3.0,4.0,6950000.0
New York,New York,1661.0,1.0,2.0,1988888.0
New York,New York,1400.0,2.0,2.0,1950000.0
New York,New York,600.0,,1.0,999999.0
New York,New York,1181.0,2.0,2.0,1750000.0
New York,New York,1100.0,3.0,2.0,699000.0
New York,New York,4731.0,4.0,6.0,15300000.0
New York,New York,,1.0,1.0,699000.0
New York,New York,,6.0,9.0,45000000.0
New York,New York,,1.0,1.0,680000.0
New York,New York,4245.0,3.0,6.0,24500000.0
New York,New York,,3.0,3.0,2350000.0
New York,New York,950.0,2.0,1.0,649000.0
New York,New York,8000.0,5.0,6.0,17500000.0
New York,New York,,,1.0,299000.0
New York,New York,,,1.0,550000.0
New York,New York,,2.0,2.0,1275000.0
New York,New York,,2.0,2.0,1450000.0
New York,New York,,,1.0,675000.0
New York,New York,1571.0,2.0,2.0,2795000.0
New York,New York,,2.0,2.0,2000000.0
New York,New York,482.0,,1.0,695000.0
New York,New York,2450.0,3.0,3.0,1100000.0
New York,New York,,3.0,3.0,2200000.0
New York,New York,,3.0,2.0,4250000.0
New York,New York,,2.0,2.0,1595000.0
New York,New York,,1.0,1.0,430000.0
New York,New York,,1.0,1.0,1049000.0
New York,New York,,2.0,1.0,719000.0
New York,New York,1085.0,1.0,2.0,649000.0
New York,New York,,,1.0,525000.0
New York,New York,1150.0,2.0,2.0,1550000.0
New York,New York,,2.0,2.0,1895000.0
New York,New York,,1.0,1.0,365000.0
New York,New York,,3.0,2.0,2395000.0
New York,New York,,1.0,2.0,650000.0
New York,New York,4600.0,6.0,5.0,7995000.0
New York,New York,2000.0,2.0,2.0,4495000.0
New York,New York,763.0,2.0,1.0,825000.0
New York,New York,763.0,2.0,1.0,825000.0
New York,New York,800.0,1.0,1.0,675000.0
New York,New York,3585.0,4.0,4.0,11995000.0
New York,New York,568.0,,1.0,560000.0
New York,New York,1573.0,2.0,2.0,3775000.0
New York,New York,,2.0,1.0,368000.0
New York,New York,600.0,1.0,1.0,595000.0
New York,New York,,,1.0,800000.0
New York,New York,,1.0,1.0,649000.0
New York,New York,,,1.0,419000.0
New York,New York,4522.0,3.0,7.0,8900000.0
New York,New York,,2.0,1.0,1299999.0
New York,New York,,,1.0,849000.0
New York,New York,,1.0,1.0,1100000.0
New York,New York,,2.0,2.0,2500000.0
New York,New York,,3.0,3.0,4595000.0
New York,New York,,2.0,3.0,1975000.0
New York,New York,2771.0,2.0,3.0,5999000.0
New York,New York,2950.0,3.0,3.0,6450000.0
New York,New York,2141.0,3.0,2.0,5175000.0
New York,New York,2743.0,4.0,5.0,3825000.0
New York,New York,,4.0,4.0,5650000.0
New York,New York,2193.0,3.0,3.0,3150000.0
New York,New York,,1.0,1.0,699000.0
New York,New York,,1.0,1.0,650000.0
New York,New York,800.0,2.0,1.0,545000.0
New York,New York,,1.0,1.0,675000.0
New York,New York,1333.0,2.0,2.0,1735000.0
New York,New York,,1.0,1.0,625000.0
New York,New York,2538.0,4.0,4.0,3495000.0
New York,New York,459.0,,1.0,825000.0
New York,New York,459.0,,1.0,850000.0
New York,New York,,4.0,1.0,670000.0
New York,New York,,1.0,1.0,498000.0
New York,New York,,2.0,1.0,560000.0
New York,New York,,1.0,2.0,395000.0
New York,New York,700.0,1.0,1.0,549000.0
New York,New York,,2.0,2.0,1395000.0
New York,New York,,,1.0,589500.0
New York,New York,,1.0,1.0,900000.0
New York,New York,,2.0,1.0,1599000.0
New York,New York,,2.0,2.0,1550000.0
New York,New York,,2.0,2.0,1395000.0
New York,New York,,,1.0,929000.0
New York,New York,,2.0,1.0,1095000.0
New York,New York,289.0,,1.0,360000.0
New York,New York,,5.0,5.0,4000000.0
New York,New York,1077.0,2.0,2.0,1650000.0
New York,New York,460.0,,1.0,600000.0
New York,New York,1351.0,2.0,2.0,2895000.0
New York,New York,1415.0,2.0,3.0,3970000.0
New York,New York,1591.0,2.0,3.0,6995000.0
New York,New York,,1.0,1.0,700000.0
New York,New York,40720.0,1.0,1.0,389000.0
New York,New York,,4.0,5.0,9950000.0
New York,New York,,1.0,1.0,880000.0
New York,New York,,1.0,1.0,825000.0
New York,New York,700.0,1.0,1.0,788000.0
New York,New York,1300.0,2.0,2.0,2500000.0
New York,New York,,2.0,1.0,425000.0
New York,New York,,,1.0,475000.0
New York,New York,,2.0,1.0,995000.0
New York,New York,,1.0,1.0,619000.0
New York,New York,1152.0,2.0,2.0,920000.0
New York,New York,,1.0,1.0,795000.0
New York,New York,,2.0,1.0,565000.0
New York,New York,,,1.0,465000.0
New York,New York,820.0,1.0,1.0,1395000.0
New York,New York,,1.0,1.0,975000.0
New York,New York,1174.0,2.0,2.0,1999999.0
New York,New York,,2.0,2.0,1850000.0
New York,New York,,2.0,2.0,2275000.0
New York,New York,585.0,,1.0,725000.0
New York,New York,1030.0,2.0,2.0,1800000.0
New York,New York,,2.0,4.0,3250000.0
New York,New York,,2.0,2.0,2350000.0
New York,New York,890.0,1.0,1.0,695000.0
New York,New York,,,1.0,349000.0
New York,New York,408.0,,1.0,325000.0
New York,New York,,,1.0,300000.0
New York,New York,750.0,2.0,1.0,785000.0
New York,New York,,,1.0,449000.0
New York,New York,2000.0,3.0,3.0,2800000.0
New York,New York,,1.0,1.0,950000.0
New York,New York,850.0,1.0,1.0,1400000.0
New York,New York,,2.0,2.0,599000.0
New York,New York,2410.0,4.0,4.0,989000.0
New York,New York,1257.0,2.0,2.0,1775000.0
New York,New York,,2.0,1.0,649000.0
New York,New York,,1.0,1.0,539000.0
New York,New York,,1.0,1.0,419000.0
New York,New York,695.0,,1.0,1950000.0
New York,New York,11140.0,6.0,10.0,14950000.0
New York,New York,,2.0,1.0,995000.0
New York,New York,,3.0,3.0,2495000.0
New York,New York,825.0,1.0,1.0,449999.0
New York,New York,3073.0,3.0,4.0,18930000.0
New York,New York,,4.0,6.0,17500000.0
New York,New York,935.0,1.0,1.0,1349000.0
New York,New York,1490.0,2.0,2.0,1250000.0
New York,New York,,2.0,1.0,675000.0
New York,New York,,1.0,1.0,699000.0
New York,New York,,1.0,1.0,850000.0
New York,New York,931.0,3.0,1.0,1250000.0
New York,New York,2508.0,2.0,1.0,3395000.0
New York,New York,3470.0,,6.0,2900000.0
New York,New York,1100.0,2.0,1.0,975000.0
New York,New York,,2.0,4.0,10000000.0
New York,New York,,1.0,1.0,849000.0
New York,New York,,,1.0,420000.0
New York,New York,,1.0,1.0,650000.0
New York,New York,825.0,1.0,1.0,749000.0
New York,New York,1691.0,2.0,4.0,5250000.0
New York,New York,,4.0,5.0,8450000.0
New York,New York,750.0,1.0,1.0,649000.0
New York,New York,,3.0,2.0,3700000.0
New York,New York,,2.0,2.0,1085000.0
New York,New York,,1.0,1.0,699000.0
New York,New York,,1.0,1.0,749000.0
New York,New York,1200.0,2.0,2.0,900000.0
New York,New York,,2.0,3.0,4500000.0
New York,New York,,,1.0,1799000.0
New York,New York,,6.0,6.0,5850000.0
New York,New York,2729.0,3.0,3.0,2650000.0
New York,New York,,2.0,1.0,624000.0
New York,New York,1577.0,2.0,3.0,2595000.0
New York,New York,,1.0,1.0,540000.0
New York,New York,3066.0,3.0,3.0,9500000.0
New York,New York,731.0,1.0,1.0,698500.0
New York,New York,1433.0,2.0,3.0,4400000.0
New York,New York,610.0,1.0,1.0,840000.0
New York,New York,1094.0,2.0,2.0,1400000.0
New York,New York,,2.0,2.0,1325000.0
New York,New York,,3.0,4.0,9995000.0
New York,New York,500.0,1.0,1.0,239000.0
New York,New York,,1.0,1.0,379000.0
New York,New York,550.0,1.0,1.0,385000.0
New York,New York,,,1.0,399000.0
New York,New York,,3.0,4.0,4495000.0
New York,New York,,3.0,4.0,6750000.0
New York,New York,595.0,,1.0,795000.0
New York,New York,,1.0,1.0,1199000.0
New York,New York,700.0,1.0,1.0,899000.0
New York,New York,,2.0,2.0,895000.0
New York,New York,1248.0,2.0,2.0,2496000.0
New York,New York,,1.0,1.0,599000.0
New York,New York,1554.0,1.0,2.0,1295000.0
New York,New York,2610.0,3.0,3.0,9500000.0
New York,New York,,1.0,1.0,455000.0
New York,New York,4030.0,6.0,7.0,4200000.0
New York,New York,650.0,1.0,1.0,790000.0
New York,New York,2066.0,3.0,4.0,4265000.0
New York,New York,1912.0,2.0,2.0,2850000.0
New York,New York,963.0,1.0,2.0,1875000.0
New York,New York,860.0,1.0,2.0,895000.0
New York,New York,,,1.0,410000.0
New York,New York,,2.0,2.0,1600000.0
New York,New York,,1.0,1.0,390000.0
New York,New York,,1.0,1.0,750000.0
New York,New York,450.0,1.0,1.0,550000.0
New York,New York,1450.0,2.0,2.0,2195000.0
New York,New York,1665.0,2.0,2.0,3995000.0
New York,New York,1115.0,2.0,2.0,1235000.0
New York,New York,2006.0,4.0,3.0,5000000.0
New York,New York,1000.0,2.0,2.0,1495000.0
New York,New York,,3.0,1.0,459999.0
New York,New York,425.0,,1.0,499000.0
New York,New York,900.0,2.0,1.0,315000.0
New York,New York,,1.0,1.0,485000.0
New York,New York,461.0,,1.0,449000.0
New York,New York,,1.0,1.0,699000.0
New York,New York,780.0,1.0,1.0,940000.0
New York,New York,435.0,,1.0,590000.0
New York,New York,6366.0,10.0,12.0,5500000.0
New York,New York,948.0,1.0,2.0,3250000.0
New York,New York,2349.0,4.0,3.0,3495000.0
New York,New York,2827.0,4.0,4.0,5250000.0
New York,New York,6252.0,5.0,6.0,23970000.0
New York,New York,,1.0,1.0,524999.0
New York,New York,,,1.0,460000.0
New York,New York,,2.0,1.0,585000.0
New York,New York,991.0,2.0,2.0,1049000.0
New York,New York,,,1.0,339000.0
New York,New York,,2.0,2.0,1150000.0
New York,New York,,1.0,1.0,800000.0
New York,New York,,2.0,2.0,1750000.0
New York,New York,,2.0,2.0,1595000.0
New York,New York,1265.0,2.0,2.0,2195000.0
New York,New York,,1.0,1.0,719000.0
