city,state,house_size,bed,bath,price
McLean,Virginia,1141.0,2.0,2.0,435000.0
McLean,Virginia,779.0,1.0,1.0,265000.0
McLean,Virginia,6180.0,6.0,6.0,1873990.0
McLean,Virginia,17743.0,8.0,10.0,7500000.0
McLean,Virginia,12354.0,7.0,10.0,9500000.0
McLean,Virginia,8936.0,6.0,8.0,3100000.0
McLean,Virginia,1305.0,2.0,2.0,499900.0
McLean,Virginia,8300.0,6.0,7.0,2390000.0
McLean,Virginia,10178.0,6.0,9.0,8500000.0
McLean,Virginia,3849.0,5.0,5.0,1849000.0
McLean,Virginia,6771.0,5.0,5.0,2699999.0
McLean,Virginia,1246.0,1.0,1.0,899900.0
McLean,Virginia,5797.0,5.0,5.0,2200000.0
McLean,Virginia,1957.0,2.0,2.0,1425000.0
McLean,Virginia,,,,5250000.0
McLean,Virginia,7103.0,5.0,7.0,2411000.0
McLean,Virginia,8600.0,7.0,9.0,4300000.0
McLean,Virginia,727.0,2.0,2.0,895000.0
McLean,Virginia,12210.0,8.0,11.0,4950000.0
McLean,Virginia,809.0,1.0,1.0,290000.0
McLean,Virginia,884.0,2.0,2.0,288000.0
McLean,Virginia,626.0,1.0,1.0,249000.0
McLean,Virginia,1132.0,2.0,2.0,469000.0
McLean,Virginia,10800.0,6.0,9.0,3999000.0
McLean,Virginia,7170.0,5.0,8.0,2985000.0
McLean,Virginia,1689.0,2.0,3.0,1599000.0
McLean,Virginia,1060.0,2.0,2.0,265000.0
McLean,Virginia,5400.0,6.0,5.0,1900000.0
McLean,Virginia,7015.0,7.0,8.0,2575000.0
McLean,Virginia,5595.0,6.0,5.0,7995000.0
McLean,Virginia,,,,2800000.0
McLean,Virginia,1150.0,2.0,2.0,329950.0
McLean,Virginia,5322.0,5.0,6.0,2295000.0
McLean,Virginia,8900.0,6.0,7.0,2999000.0
McLean,Virginia,642.0,1.0,1.0,299900.0
McLean,Virginia,5172.0,5.0,6.0,2275000.0
McLean,Virginia,789.0,1.0,1.0,225000.0
McLean,Virginia,2140.0,4.0,3.0,1099900.0
McLean,Virginia,6026.0,7.0,7.0,2475000.0
McLean,Virginia,7489.0,8.0,9.0,3588000.0
McLean,Virginia,1920.0,4.0,3.0,1395000.0
McLean,Virginia,1160.0,2.0,2.0,930000.0
McLean,Virginia,16243.0,10.0,13.0,5300000.0
McLean,Virginia,4728.0,6.0,7.0,2550000.0
McLean,Virginia,2540.0,3.0,2.0,2900000.0
McLean,Virginia,1327.0,2.0,2.0,575000.0
McLean,Virginia,9701.0,8.0,9.0,3500000.0
McLean,Virginia,4519.0,4.0,5.0,1825000.0
McLean,Virginia,10771.0,6.0,8.0,3695000.0
McLean,Virginia,7650.0,7.0,7.0,2550000.0
McLean,Virginia,1629.0,2.0,2.0,1269000.0
McLean,Virginia,1689.0,2.0,3.0,1448000.0
McLean,Virginia,2284.0,2.0,3.0,2290000.0
McLean,Virginia,1601.0,2.0,2.0,1478000.0
McLean,Virginia,8838.0,4.0,8.0,8700000.0
McLean,Virginia,5660.0,4.0,4.0,2000000.0
McLean,Virginia,1160.0,2.0,2.0,850000.0
McLean,Virginia,6063.0,6.0,6.0,2000000.0
McLean,Virginia,2802.0,5.0,4.0,968900.0
McLean,Virginia,1598.0,2.0,3.0,886950.0
McLean,Virginia,11804.0,8.0,12.0,4995000.0
McLean,Virginia,4320.0,4.0,5.0,1325000.0
McLean,Virginia,10453.0,7.0,10.0,7500000.0
McLean,Virginia,593.0,,1.0,234000.0
McLean,Virginia,4351.0,4.0,4.0,1884900.0
McLean,Virginia,709.0,1.0,1.0,557900.0
McLean,Virginia,12104.0,6.0,9.0,4250000.0
McLean,Virginia,690.0,1.0,1.0,339900.0
McLean,Virginia,1344.0,2.0,2.0,449900.0
McLean,Virginia,2856.0,4.0,5.0,1255000.0
McLean,Virginia,762.0,1.0,1.0,260000.0
McLean,Virginia,,,,999990.0
McLean,Virginia,,,,2935000.0
McLean,Virginia,4630.0,5.0,5.0,1695000.0
McLean,Virginia,7432.0,6.0,7.0,2499950.0
McLean,Virginia,7606.0,6.0,7.0,2360000.0
McLean,Virginia,774.0,1.0,1.0,649000.0
McLean,Virginia,774.0,1.0,1.0,629500.0
McLean,Virginia,761.0,1.0,1.0,634700.0
McLean,Virginia,943.0,1.0,1.0,275000.0
McLean,Virginia,990.0,1.0,1.0,289000.0
McLean,Virginia,2267.0,3.0,4.0,799000.0
McLean,Virginia,992.0,1.0,1.0,345000.0
McLean,Virginia,8002.0,6.0,7.0,2375000.0
McLean,Virginia,2971.0,4.0,5.0,950000.0
McLean,Virginia,1202.0,2.0,2.0,507500.0
McLean,Virginia,689.0,1.0,1.0,245000.0
McLean,Virginia,1780.0,3.0,3.0,600000.0
McLean,Virginia,7805.0,7.0,8.0,3188000.0
McLean,Virginia,,,,890000.0
McLean,Virginia,5740.0,6.0,7.0,2249000.0
McLean,Virginia,992.0,1.0,1.0,363500.0
McLean,Virginia,4443.0,4.0,5.0,1750000.0
McLean,Virginia,2945.0,3.0,4.0,1185000.0
McLean,Virginia,5848.0,6.0,5.0,2295000.0
McLean,Virginia,12523.0,7.0,12.0,9250000.0
McLean,Virginia,,5.0,7.0,4800000.0
McLean,Virginia,1504.0,3.0,2.0,525000.0
McLean,Virginia,1112.0,2.0,2.0,329000.0
McLean,Virginia,1050.0,2.0,2.0,354900.0
McLean,Virginia,3716.0,5.0,5.0,1549888.0
McLean,Virginia,1150.0,2.0,2.0,339900.0
McLean,Virginia,8885.0,5.0,7.0,2295000.0
McLean,Virginia,3902.0,4.0,4.0,1480000.0
McLean,Virginia,2900.0,5.0,3.0,1395000.0
McLean,Virginia,3102.0,3.0,4.0,799990.0
McLean,Virginia,2730.0,5.0,4.0,1200000.0
McLean,Virginia,4215.0,4.0,6.0,1295000.0
McLean,Virginia,1112.0,2.0,2.0,325000.0
McLean,Virginia,1244.0,2.0,3.0,440000.0
McLean,Virginia,8220.0,6.0,8.0,3695000.0
McLean,Virginia,1500.0,4.0,3.0,1450000.0
McLean,Virginia,13814.0,6.0,12.0,6999900.0
McLean,Virginia,11081.0,6.0,8.0,4495000.0
McLean,Virginia,894.0,1.0,2.0,675000.0
McLean,Virginia,952.0,2.0,2.0,379000.0
McLean,Virginia,1132.0,2.0,2.0,435000.0
McLean,Virginia,10066.0,6.0,7.0,5250000.0
McLean,Virginia,2409.0,4.0,3.0,874900.0
McLean,Virginia,952.0,2.0,2.0,352900.0
McLean,Virginia,6950.0,6.0,7.0,2224999.0
McLean,Virginia,1468.0,2.0,2.0,499900.0
McLean,Virginia,7700.0,5.0,5.0,2195000.0
McLean,Virginia,1276.0,3.0,3.0,459500.0
McLean,Virginia,4860.0,3.0,4.0,1799000.0
McLean,Virginia,1586.0,3.0,3.0,936950.0
McLean,Virginia,626.0,1.0,1.0,249000.0
McLean,Virginia,1228.0,2.0,2.0,700000.0
McLean,Virginia,1813.0,2.0,3.0,1695000.0
McLean,Virginia,1180.0,2.0,2.0,339900.0
McLean,Virginia,1160.0,2.0,2.0,965000.0
McLean,Virginia,1480.0,4.0,2.0,1100000.0
McLean,Virginia,2763.0,3.0,3.0,1275950.0
McLean,Virginia,7060.0,6.0,7.0,2249980.0
McLean,Virginia,2331.0,4.0,4.0,884900.0
McLean,Virginia,12606.0,6.0,6.0,10497000.0
McLean,Virginia,2422.0,5.0,4.0,999000.0
McLean,Virginia,784.0,1.0,1.0,299000.0
McLean,Virginia,5000.0,6.0,6.0,1899000.0
McLean,Virginia,7100.0,6.0,7.0,3200000.0
McLean,Virginia,9106.0,6.0,9.0,7900000.0
McLean,Virginia,6100.0,6.0,7.0,2525000.0
McLean,Virginia,1329.0,2.0,2.0,820000.0
McLean,Virginia,3069.0,5.0,4.0,1599900.0
McLean,Virginia,1327.0,2.0,2.0,499000.0
McLean,Virginia,1272.0,3.0,2.0,499900.0
McLean,Virginia,1327.0,2.0,2.0,495000.0
McLean,Virginia,6234.0,6.0,5.0,2299000.0
McLean,Virginia,2078.0,2.0,2.0,1649000.0
McLean,Virginia,818.0,1.0,1.0,285000.0
McLean,Virginia,1327.0,2.0,2.0,539900.0
McLean,Virginia,11445.0,5.0,8.0,5200000.0
McLean,Virginia,1741.0,2.0,3.0,1648000.0
McLean,Virginia,23600.0,6.0,11.0,29900000.0
McLean,Virginia,11850.0,6.0,9.0,3900000.0
McLean,Virginia,1305.0,2.0,2.0,449900.0
McLean,Virginia,1328.0,2.0,2.0,479900.0
McLean,Virginia,689.0,1.0,1.0,239990.0
McLean,Virginia,3030.0,3.0,5.0,2295000.0
McLean,Virginia,3612.0,5.0,4.0,1300000.0
McLean,Virginia,1982.0,4.0,3.0,2999999.0
McLean,Virginia,1338.0,2.0,2.0,486000.0
McLean,Virginia,1335.0,2.0,2.0,448500.0
McLean,Virginia,2548.0,4.0,3.0,1699999.0
McLean,Virginia,7347.0,6.0,7.0,2699000.0
McLean,Virginia,626.0,1.0,1.0,224900.0
McLean,Virginia,1765.0,4.0,5.0,1600000.0
McLean,Virginia,3075.0,4.0,4.0,1375000.0
McLean,Virginia,1403.0,2.0,2.0,400000.0
McLean,Virginia,980.0,2.0,1.0,315000.0
McLean,Virginia,690.0,1.0,1.0,339000.0
McLean,Virginia,1702.0,2.0,2.0,524900.0
McLean,Virginia,1220.0,2.0,2.0,529900.0
McLean,Virginia,811.0,1.0,2.0,279000.0
McLean,Virginia,6917.0,4.0,5.0,2360000.0
McLean,Virginia,11125.0,7.0,9.0,3400000.0
McLean,Virginia,6260.0,7.0,8.0,1950000.0
McLean,Virginia,1338.0,2.0,2.0,445000.0
McLean,Virginia,7011.0,6.0,7.0,2699000.0
McLean,Virginia,1329.0,2.0,2.0,730000.0
McLean,Virginia,3911.0,5.0,4.0,1600000.0
McLean,Virginia,2514.0,4.0,5.0,1075000.0
McLean,Virginia,12200.0,7.0,9.0,4000000.0
McLean,Virginia,1327.0,2.0,2.0,549000.0
McLean,Virginia,8518.0,5.0,7.0,3695000.0
McLean,Virginia,10000.0,6.0,8.0,4950000.0
McLean,Virginia,8345.0,7.0,8.0,3695000.0
McLean,Virginia,20000.0,8.0,13.0,24000000.0
McLean,Virginia,6688.0,7.0,7.0,2499500.0
McLean,Virginia,2376.0,4.0,5.0,1275950.0
McLean,Virginia,14900.0,8.0,12.0,14700000.0
McLean,Virginia,4685.0,4.0,4.0,1795900.0
McLean,Virginia,4351.0,4.0,4.0,1875000.0
McLean,Virginia,8200.0,7.0,9.0,3995000.0
McLean,Virginia,7400.0,7.0,7.0,2725000.0
McLean,Virginia,,,,21000000.0
McLean,Virginia,8313.0,6.0,7.0,2999900.0
McLean,Virginia,8216.0,6.0,9.0,4650000.0
McLean,Virginia,,,,1250000.0
McLean,Virginia,935.0,1.0,1.0,275000.0
McLean,Virginia,16000.0,5.0,,11998000.0
McLean,Virginia,12640.0,9.0,8.0,5800000.0
McLean,Virginia,9100.0,6.0,7.0,3299000.0
McLean,Virginia,6312.0,5.0,7.0,1900000.0
McLean,Virginia,6000.0,6.0,6.0,1969999.0
