city,state,house_size,bed,bath,price
Santa Monica,California,661.0,,1.0,550000.0
Santa Monica,California,1043.0,1.0,1.0,999990.0
Santa Monica,California,785.0,2.0,1.0,719000.0
Santa Monica,California,3701.0,5.0,5.0,8995000.0
Santa Monica,California,3115.0,4.0,4.0,2545000.0
Santa Monica,California,9680.0,22.0,13.0,8000000.0
Santa Monica,California,5262.0,10.0,7.0,3295000.0
Santa Monica,California,1924.0,2.0,3.0,3350000.0
Santa Monica,California,906.0,1.0,1.0,1075000.0
Santa Monica,California,4526.0,15.0,10.0,3199000.0
Santa Monica,California,3604.0,4.0,4.0,4295000.0
Santa Monica,California,1262.0,2.0,2.0,995000.0
Santa Monica,California,10065.0,17.0,17.0,6519999.0
Santa Monica,California,1700.0,,2.0,1949000.0
Santa Monica,California,2020.0,2.0,3.0,1399999.0
Santa Monica,California,1647.0,3.0,4.0,1240000.0
Santa Monica,California,939.0,1.0,1.0,1000000.0
Santa Monica,California,906.0,1.0,1.0,1300000.0
Santa Monica,California,503.0,1.0,1.0,565000.0
Santa Monica,California,2076.0,2.0,4.0,1499000.0
Santa Monica,California,726.0,1.0,1.0,775000.0
Santa Monica,California,1009.0,2.0,2.0,1144000.0
Santa Monica,California,1476.0,2.0,3.0,1529000.0
Santa Monica,California,1408.0,3.0,3.0,1349000.0
Santa Monica,California,5375.0,14.0,8.0,2595000.0
Santa Monica,California,3067.0,3.0,3.0,4999000.0
Santa Monica,California,3005.0,3.0,4.0,3149000.0
Santa Monica,California,20513.0,40.0,31.0,10250000.0
Santa Monica,California,2801.0,8.0,4.0,1689000.0
Santa Monica,California,5236.0,6.0,5.0,8000000.0
Santa Monica,California,379.0,,1.0,450000.0
Santa Monica,California,4694.0,6.0,6.0,3300000.0
Santa Monica,California,1367.0,2.0,3.0,989000.0
Santa Monica,California,1039.0,2.0,2.0,969000.0
Santa Monica,California,3083.0,5.0,4.0,1550000.0
Santa Monica,California,2094.0,3.0,3.0,2495000.0
Santa Monica,California,1046.0,2.0,2.0,1195000.0
Santa Monica,California,3140.0,2.0,3.0,6995000.0
Santa Monica,California,1458.0,2.0,3.0,1080000.0
Santa Monica,California,2817.0,3.0,3.0,5995000.0
Santa Monica,California,2716.0,4.0,3.0,4300000.0
Santa Monica,California,1554.0,3.0,3.0,2500000.0
Santa Monica,California,1380.0,3.0,2.0,1479000.0
Santa Monica,California,1495.0,2.0,2.0,1595000.0
Santa Monica,California,3186.0,6.0,5.0,2775000.0
Santa Monica,California,1216.0,2.0,2.0,2400000.0
Santa Monica,California,804.0,2.0,2.0,799500.0
Santa Monica,California,600.0,1.0,1.0,725000.0
Santa Monica,California,3636.0,21.0,12.0,5688000.0
Santa Monica,California,6149.0,6.0,5.0,12999000.0
Santa Monica,California,1301.0,2.0,3.0,1500000.0
Santa Monica,California,3380.0,4.0,4.0,3997500.0
Santa Monica,California,658.0,1.0,1.0,625000.0
Santa Monica,California,2657.0,4.0,4.0,3595000.0
Santa Monica,California,1456.0,3.0,3.0,1099000.0
Santa Monica,California,3555.0,5.0,5.0,3899000.0
Santa Monica,California,662.0,1.0,1.0,699000.0
Santa Monica,California,1821.0,3.0,4.0,1995000.0
Santa Monica,California,1994.0,2.0,3.0,1995000.0
Santa Monica,California,1256.0,2.0,3.0,999000.0
Santa Monica,California,1939.0,2.0,3.0,1395000.0
Santa Monica,California,1153.0,1.0,2.0,1595000.0
Santa Monica,California,1609.0,2.0,3.0,2895000.0
Santa Monica,California,722.0,1.0,1.0,499000.0
Santa Monica,California,1228.0,2.0,2.0,2500000.0
Santa Monica,California,1486.0,2.0,2.0,1495000.0
Santa Monica,California,12379.0,7.0,12.0,19995000.0
Santa Monica,California,1670.0,3.0,2.0,2445000.0
Santa Monica,California,1865.0,2.0,3.0,3399000.0
Santa Monica,California,1554.0,3.0,3.0,2200000.0
Santa Monica,California,5655.0,6.0,7.0,18000000.0
Santa Monica,California,2766.0,4.0,4.0,2198000.0
Santa Monica,California,1374.0,3.0,3.0,2150000.0
Santa Monica,California,6521.0,6.0,8.0,9995000.0
Santa Monica,California,1028.0,2.0,2.0,849000.0
Santa Monica,California,8914.0,14.0,13.0,3650000.0
Santa Monica,California,3302.0,4.0,3.0,3295000.0
Santa Monica,California,3360.0,6.0,6.0,2595000.0
Santa Monica,California,7587.0,7.0,9.0,12995000.0
Santa Monica,California,845.0,2.0,1.0,649000.0
