city,state,house_size,bed,bath,price
Stamford,Connecticut,1458.0,4.0,3.0,529800.0
Stamford,Connecticut,1969.0,3.0,2.0,575000.0
Stamford,Connecticut,3189.0,4.0,4.0,1100000.0
Stamford,Connecticut,1240.0,2.0,2.0,319000.0
Stamford,Connecticut,720.0,1.0,1.0,225000.0
Stamford,Connecticut,430.0,1.0,1.0,159900.0
Stamford,Connecticut,1460.0,3.0,3.0,420000.0
Stamford,Connecticut,,,,300000.0
Stamford,Connecticut,20264.0,19.0,24.0,9385000.0
Stamford,Connecticut,3726.0,4.0,4.0,899000.0
Stamford,Connecticut,1335.0,2.0,2.0,514000.0
Stamford,Connecticut,,,,400000.0
Stamford,Connecticut,2489.0,4.0,2.0,600000.0
Stamford,Connecticut,900.0,2.0,1.0,170000.0
Stamford,Connecticut,,,,2750000.0
Stamford,Connecticut,2104.0,3.0,2.0,399000.0
Stamford,Connecticut,675.0,2.0,1.0,219900.0
Stamford,Connecticut,2398.0,2.0,4.0,559900.0
Stamford,Connecticut,2115.0,3.0,3.0,999000.0
Stamford,Connecticut,2049.0,4.0,2.0,475000.0
Stamford,Connecticut,,,,975000.0
Stamford,Connecticut,6554.0,7.0,9.0,1700000.0
Stamford,Connecticut,958.0,2.0,2.0,151066.0
Stamford,Connecticut,2801.0,6.0,5.0,699000.0
Stamford,Connecticut,2002.0,3.0,2.0,699000.0
Stamford,Connecticut,1588.0,4.0,2.0,460000.0
Stamford,Connecticut,3648.0,5.0,4.0,915000.0
Stamford,Connecticut,1003.0,1.0,2.0,275000.0
Stamford,Connecticut,2995.0,4.0,5.0,1125000.0
Stamford,Connecticut,831.0,1.0,1.0,219999.0
Stamford,Connecticut,1451.0,3.0,3.0,295000.0
Stamford,Connecticut,2344.0,4.0,3.0,599000.0
Stamford,Connecticut,1100.0,2.0,1.0,199900.0
Stamford,Connecticut,1864.0,4.0,3.0,650000.0
Stamford,Connecticut,1281.0,4.0,2.0,499000.0
Stamford,Connecticut,431.0,1.0,1.0,149900.0
Stamford,Connecticut,1990.0,4.0,4.0,820000.0
Stamford,Connecticut,958.0,2.0,2.0,180941.0
Stamford,Connecticut,6226.0,6.0,7.0,1399000.0
Stamford,Connecticut,450.0,,1.0,129000.0
Stamford,Connecticut,7295.0,5.0,7.0,1699000.0
Stamford,Connecticut,2904.0,4.0,3.0,1099000.0
Stamford,Connecticut,1396.0,3.0,2.0,500000.0
Stamford,Connecticut,1066.0,1.0,2.0,389000.0
Stamford,Connecticut,677.0,1.0,1.0,294000.0
Stamford,Connecticut,1100.0,2.0,1.0,245000.0
Stamford,Connecticut,587.0,1.0,1.0,172900.0
Stamford,Connecticut,3563.0,5.0,4.0,1700000.0
Stamford,Connecticut,847.0,1.0,1.0,239000.0
Stamford,Connecticut,1512.0,3.0,2.0,615000.0
Stamford,Connecticut,1500.0,3.0,2.0,525000.0
Stamford,Connecticut,905.0,2.0,1.0,170000.0
Stamford,Connecticut,368.0,,1.0,165000.0
Stamford,Connecticut,1450.0,3.0,2.0,529000.0
Stamford,Connecticut,1742.0,3.0,2.0,550000.0
Stamford,Connecticut,1200.0,3.0,2.0,230000.0
Stamford,Connecticut,875.0,1.0,1.0,335000.0
Stamford,Connecticut,4899.0,4.0,5.0,1170000.0
Stamford,Connecticut,1280.0,2.0,3.0,375000.0
Stamford,Connecticut,,,,350000.0
Stamford,Connecticut,1070.0,2.0,2.0,270000.0
Stamford,Connecticut,1530.0,2.0,3.0,760000.0
Stamford,Connecticut,2276.0,6.0,4.0,749000.0
Stamford,Connecticut,1637.0,2.0,2.0,400000.0
Stamford,Connecticut,3335.0,5.0,5.0,1499000.0
Stamford,Connecticut,1322.0,3.0,2.0,325000.0
Stamford,Connecticut,648.0,1.0,1.0,190000.0
Stamford,Connecticut,3983.0,5.0,4.0,1095000.0
Stamford,Connecticut,1920.0,4.0,2.0,635000.0
Stamford,Connecticut,2778.0,5.0,2.0,699000.0
Stamford,Connecticut,2535.0,4.0,4.0,579000.0
Stamford,Connecticut,3744.0,5.0,5.0,2189000.0
Stamford,Connecticut,1209.0,2.0,1.0,550000.0
Stamford,Connecticut,1593.0,3.0,2.0,587000.0
Stamford,Connecticut,885.0,1.0,1.0,207500.0
Stamford,Connecticut,1479.0,2.0,2.0,415000.0
Stamford,Connecticut,1943.0,3.0,2.0,599000.0
Stamford,Connecticut,885.0,1.0,1.0,205000.0
Stamford,Connecticut,3291.0,4.0,3.0,489000.0
Stamford,Connecticut,1700.0,3.0,3.0,619000.0
Stamford,Connecticut,875.0,2.0,1.0,239000.0
Stamford,Connecticut,4226.0,4.0,5.0,1230000.0
Stamford,Connecticut,1460.0,3.0,3.0,419000.0
Stamford,Connecticut,3204.0,4.0,4.0,1189000.0
Stamford,Connecticut,1574.0,2.0,2.0,599000.0
Stamford,Connecticut,1761.0,4.0,2.0,725000.0
Stamford,Connecticut,3566.0,5.0,5.0,950000.0
Stamford,Connecticut,1276.0,2.0,2.0,345000.0
Stamford,Connecticut,651.0,1.0,1.0,299000.0
Stamford,Connecticut,1278.0,2.0,2.0,399000.0
Stamford,Connecticut,1840.0,3.0,2.0,699000.0
Stamford,Connecticut,875.0,2.0,1.0,219000.0
Stamford,Connecticut,2560.0,5.0,3.0,709000.0
Stamford,Connecticut,569.0,1.0,1.0,165000.0
Stamford,Connecticut,575.0,1.0,1.0,169000.0
Stamford,Connecticut,725.0,1.0,1.0,219222.0
Stamford,Connecticut,712.0,1.0,1.0,209500.0
Stamford,Connecticut,1408.0,3.0,3.0,990000.0
Stamford,Connecticut,750.0,1.0,1.0,154000.0
Stamford,Connecticut,2137.0,4.0,3.0,599000.0
Stamford,Connecticut,1325.0,2.0,1.0,325000.0
Stamford,Connecticut,990.0,2.0,1.0,295000.0
Stamford,Connecticut,1083.0,2.0,1.0,294000.0
Stamford,Connecticut,3128.0,4.0,4.0,799000.0
Stamford,Connecticut,900.0,2.0,1.0,220000.0
Stamford,Connecticut,,,,225000.0
Stamford,Connecticut,2240.0,4.0,4.0,699000.0
Stamford,Connecticut,1676.0,4.0,2.0,599000.0
Stamford,Connecticut,900.0,2.0,1.0,247500.0
Stamford,Connecticut,1708.0,4.0,3.0,679000.0
Stamford,Connecticut,750.0,1.0,1.0,260000.0
Stamford,Connecticut,3501.0,4.0,3.0,895000.0
Stamford,Connecticut,1530.0,2.0,3.0,579000.0
Stamford,Connecticut,4110.0,5.0,3.0,1499000.0
Stamford,Connecticut,1550.0,2.0,2.0,599000.0
Stamford,Connecticut,2383.0,3.0,3.0,599000.0
Stamford,Connecticut,1530.0,2.0,3.0,500000.0
Stamford,Connecticut,2072.0,3.0,3.0,545500.0
Stamford,Connecticut,3000.0,4.0,3.0,749000.0
Stamford,Connecticut,5204.0,5.0,6.0,1279000.0
Stamford,Connecticut,3335.0,5.0,5.0,1479000.0
Stamford,Connecticut,2113.0,3.0,3.0,988100.0
Stamford,Connecticut,5114.0,6.0,6.0,1350000.0
Stamford,Connecticut,2180.0,4.0,4.0,739900.0
Stamford,Connecticut,1404.0,3.0,1.0,359900.0
Stamford,Connecticut,1428.0,3.0,1.0,524900.0
Stamford,Connecticut,2223.0,4.0,2.0,635000.0
Stamford,Connecticut,1720.0,3.0,2.0,390000.0
Stamford,Connecticut,847.0,2.0,1.0,210000.0
Stamford,Connecticut,2328.0,4.0,2.0,555000.0
Stamford,Connecticut,2723.0,4.0,4.0,810000.0
Stamford,Connecticut,1309.0,4.0,2.0,525000.0
Stamford,Connecticut,1608.0,4.0,2.0,639000.0
Stamford,Connecticut,1836.0,4.0,4.0,645000.0
Stamford,Connecticut,2972.0,5.0,3.0,899000.0
Stamford,Connecticut,2586.0,4.0,3.0,755000.0
Stamford,Connecticut,1295.0,3.0,2.0,509000.0
Stamford,Connecticut,2549.0,3.0,3.0,724900.0
Stamford,Connecticut,608.0,1.0,1.0,165000.0
Stamford,Connecticut,1786.0,3.0,2.0,599000.0
Stamford,Connecticut,1510.0,2.0,2.0,439000.0
Stamford,Connecticut,1892.0,3.0,2.0,599777.0
Stamford,Connecticut,1548.0,4.0,2.0,530000.0
Stamford,Connecticut,4982.0,5.0,5.0,1400000.0
Stamford,Connecticut,1938.0,3.0,3.0,629000.0
Stamford,Connecticut,3876.0,5.0,4.0,1100000.0
Stamford,Connecticut,1064.0,2.0,2.0,275000.0
Stamford,Connecticut,2064.0,4.0,2.0,629500.0
Stamford,Connecticut,918.0,2.0,2.0,350000.0
Stamford,Connecticut,1674.0,3.0,3.0,725000.0
Stamford,Connecticut,2172.0,3.0,3.0,829000.0
Stamford,Connecticut,1060.0,2.0,2.0,368000.0
Stamford,Connecticut,2098.0,3.0,4.0,615000.0
Stamford,Connecticut,1232.0,3.0,2.0,550000.0
Stamford,Connecticut,1074.0,3.0,1.0,480000.0
Stamford,Connecticut,1856.0,3.0,4.0,632000.0
Stamford,Connecticut,1666.0,4.0,2.0,589000.0
Stamford,Connecticut,18166.0,6.0,8.0,6495000.0
Stamford,Connecticut,1131.0,4.0,2.0,489000.0
Stamford,Connecticut,1534.0,2.0,2.0,400000.0
Stamford,Connecticut,2390.0,4.0,3.0,959000.0
Stamford,Connecticut,1225.0,3.0,2.0,479000.0
Stamford,Connecticut,1939.0,4.0,2.0,625000.0
Stamford,Connecticut,550.0,1.0,1.0,139500.0
Stamford,Connecticut,2534.0,5.0,5.0,775000.0
Stamford,Connecticut,10692.0,6.0,5.0,1800000.0
Stamford,Connecticut,2660.0,6.0,3.0,635000.0
Stamford,Connecticut,2710.0,5.0,3.0,825000.0
Stamford,Connecticut,2297.0,3.0,2.0,749000.0
Stamford,Connecticut,3221.0,4.0,3.0,919000.0
Stamford,Connecticut,560.0,1.0,1.0,169900.0
Stamford,Connecticut,1419.0,2.0,2.0,759000.0
Stamford,Connecticut,3930.0,5.0,5.0,1500000.0
Stamford,Connecticut,,,,1499000.0
Stamford,Connecticut,1601.0,3.0,2.0,499000.0
Stamford,Connecticut,778.0,1.0,1.0,200000.0
Stamford,Connecticut,2138.0,3.0,2.0,649000.0
Stamford,Connecticut,1452.0,3.0,3.0,559990.0
Stamford,Connecticut,1836.0,4.0,2.0,575000.0
Stamford,Connecticut,2028.0,3.0,3.0,649000.0
Stamford,Connecticut,1900.0,3.0,3.0,450000.0
Stamford,Connecticut,6108.0,3.0,4.0,1775000.0
Stamford,Connecticut,4263.0,4.0,4.0,989000.0
Stamford,Connecticut,2464.0,5.0,3.0,795000.0
Stamford,Connecticut,2146.0,3.0,2.0,749000.0
Stamford,Connecticut,3200.0,5.0,5.0,1575000.0
Stamford,Connecticut,1368.0,3.0,3.0,575000.0
Stamford,Connecticut,1036.0,3.0,2.0,269000.0
Stamford,Connecticut,1267.0,2.0,2.0,425000.0
Stamford,Connecticut,836.0,1.0,1.0,220000.0
Stamford,Connecticut,2248.0,4.0,2.0,639000.0
Stamford,Connecticut,1930.0,3.0,2.0,599000.0
Stamford,Connecticut,3598.0,4.0,5.0,999000.0
Stamford,Connecticut,2760.0,5.0,4.0,695000.0
Stamford,Connecticut,5438.0,7.0,6.0,2195000.0
Stamford,Connecticut,3365.0,5.0,4.0,959000.0
Stamford,Connecticut,1863.0,3.0,4.0,875000.0
Stamford,Connecticut,2132.0,4.0,2.0,1400000.0
Stamford,Connecticut,1356.0,2.0,3.0,699000.0
Stamford,Connecticut,1423.0,3.0,2.0,499000.0
Stamford,Connecticut,2232.0,4.0,3.0,699000.0
Stamford,Connecticut,3088.0,4.0,3.0,700000.0
Stamford,Connecticut,2448.0,4.0,3.0,775000.0
Stamford,Connecticut,1768.0,4.0,2.0,325000.0
Stamford,Connecticut,1100.0,,2.0,369000.0
Stamford,Connecticut,1290.0,3.0,1.0,325000.0
Stamford,Connecticut,1534.0,3.0,2.0,539000.0
Stamford,Connecticut,1635.0,3.0,2.0,535000.0
Stamford,Connecticut,1100.0,2.0,1.0,245000.0
Stamford,Connecticut,1458.0,4.0,2.0,499000.0
Stamford,Connecticut,2110.0,4.0,3.0,640000.0
Stamford,Connecticut,2499.0,4.0,2.0,725000.0
Stamford,Connecticut,2156.0,4.0,3.0,699000.0
Stamford,Connecticut,2506.0,4.0,3.0,749000.0
Stamford,Connecticut,2209.0,6.0,2.0,949900.0
Stamford,Connecticut,2065.0,4.0,2.0,750000.0
Stamford,Connecticut,2425.0,3.0,3.0,679000.0
Stamford,Connecticut,2280.0,4.0,3.0,719000.0
Stamford,Connecticut,1648.0,4.0,2.0,599000.0
Stamford,Connecticut,2067.0,4.0,3.0,675000.0
Stamford,Connecticut,1080.0,1.0,2.0,289900.0
Stamford,Connecticut,2386.0,5.0,3.0,765000.0
Stamford,Connecticut,1625.0,4.0,2.0,599000.0
Stamford,Connecticut,4084.0,4.0,5.0,1100000.0
Stamford,Connecticut,3933.0,5.0,3.0,1450000.0
Stamford,Connecticut,3055.0,3.0,4.0,1050000.0
Stamford,Connecticut,2861.0,3.0,4.0,1858000.0
Stamford,Connecticut,1624.0,3.0,1.0,499000.0
Stamford,Connecticut,2488.0,6.0,3.0,599000.0
Stamford,Connecticut,2380.0,4.0,4.0,675000.0
Stamford,Connecticut,2533.0,4.0,3.0,779000.0
Stamford,Connecticut,1556.0,4.0,3.0,799000.0
Stamford,Connecticut,1944.0,4.0,2.0,649000.0
Stamford,Connecticut,2720.0,6.0,4.0,899000.0
Stamford,Connecticut,790.0,1.0,1.0,220000.0
Stamford,Connecticut,3100.0,6.0,5.0,1285000.0
Stamford,Connecticut,14149.0,13.0,12.0,7995000.0
Stamford,Connecticut,779.0,1.0,1.0,430000.0
Stamford,Connecticut,1632.0,3.0,2.0,485000.0
Stamford,Connecticut,2240.0,4.0,3.0,709000.0
Stamford,Connecticut,1967.0,3.0,2.0,450000.0
Stamford,Connecticut,886.0,3.0,1.0,265000.0
Stamford,Connecticut,3900.0,4.0,6.0,1675000.0
Stamford,Connecticut,2620.0,3.0,2.0,629900.0
Stamford,Connecticut,3575.0,3.0,3.0,750000.0
Stamford,Connecticut,1800.0,3.0,2.0,569000.0
Stamford,Connecticut,1428.0,3.0,2.0,547000.0
Stamford,Connecticut,2110.0,3.0,4.0,775000.0
Stamford,Connecticut,806.0,3.0,1.0,194500.0
Stamford,Connecticut,806.0,3.0,1.0,194500.0
Stamford,Connecticut,2162.0,4.0,4.0,929000.0
Stamford,Connecticut,1470.0,2.0,3.0,439900.0
Stamford,Connecticut,628.0,1.0,1.0,189000.0
Stamford,Connecticut,2248.0,,,925000.0
Stamford,Connecticut,4300.0,4.0,5.0,1750000.0
Stamford,Connecticut,530.0,1.0,1.0,146000.0
Stamford,Connecticut,525.0,1.0,1.0,142000.0
Stamford,Connecticut,740.0,1.0,1.0,160000.0
Stamford,Connecticut,740.0,1.0,1.0,160000.0
Stamford,Connecticut,2479.0,4.0,4.0,629000.0
Stamford,Connecticut,1045.0,1.0,2.0,269500.0
Stamford,Connecticut,2492.0,4.0,3.0,560000.0
Stamford,Connecticut,1620.0,3.0,2.0,559000.0
Stamford,Connecticut,4097.0,4.0,4.0,999999.0
Stamford,Connecticut,2996.0,3.0,2.0,739000.0
Stamford,Connecticut,1679.0,4.0,2.0,639000.0
Stamford,Connecticut,2590.0,3.0,3.0,849000.0
Stamford,Connecticut,4141.0,4.0,5.0,1299000.0
Stamford,Connecticut,3304.0,4.0,4.0,1075000.0
Stamford,Connecticut,1496.0,3.0,3.0,550000.0
Stamford,Connecticut,845.0,2.0,2.0,180000.0
Stamford,Connecticut,670.0,1.0,1.0,185000.0
Stamford,Connecticut,2470.0,4.0,3.0,699000.0
Stamford,Connecticut,2276.0,3.0,2.0,600000.0
Stamford,Connecticut,1199.0,2.0,2.0,435000.0
Stamford,Connecticut,2344.0,5.0,3.0,699000.0
Stamford,Connecticut,828.0,1.0,1.0,305000.0
Stamford,Connecticut,3728.0,4.0,4.0,1449000.0
Stamford,Connecticut,1863.0,3.0,4.0,895000.0
Stamford,Connecticut,2087.0,4.0,3.0,2250000.0
Stamford,Connecticut,,,,3500000.0
Stamford,Connecticut,5231.0,5.0,5.0,1575000.0
Stamford,Connecticut,1735.0,4.0,2.0,410000.0
Stamford,Connecticut,978.0,2.0,1.0,200000.0
Stamford,Connecticut,855.0,2.0,1.0,249500.0
Stamford,Connecticut,820.0,1.0,1.0,235000.0
Stamford,Connecticut,599.0,1.0,1.0,165000.0
Stamford,Connecticut,654.0,1.0,1.0,198900.0
Stamford,Connecticut,1145.0,2.0,2.0,299000.0
Stamford,Connecticut,880.0,2.0,1.0,269999.0
Stamford,Connecticut,975.0,2.0,2.0,329999.0
Stamford,Connecticut,1738.0,2.0,3.0,739000.0
Stamford,Connecticut,1106.0,1.0,2.0,450000.0
Stamford,Connecticut,3405.0,6.0,2.0,665000.0
Stamford,Connecticut,705.0,1.0,1.0,237800.0
Stamford,Connecticut,1038.0,2.0,2.0,415000.0
Stamford,Connecticut,1371.0,2.0,2.0,469000.0
Stamford,Connecticut,680.0,1.0,1.0,239000.0
Stamford,Connecticut,680.0,1.0,1.0,405000.0
Stamford,Connecticut,1436.0,2.0,3.0,678000.0
Stamford,Connecticut,1924.0,2.0,1.0,519000.0
Stamford,Connecticut,1617.0,3.0,2.0,569000.0
Stamford,Connecticut,1830.0,3.0,3.0,550000.0
Stamford,Connecticut,1952.0,4.0,2.0,635000.0
Stamford,Connecticut,2157.0,6.0,4.0,749000.0
Stamford,Connecticut,601.0,1.0,1.0,165000.0
Stamford,Connecticut,1336.0,2.0,2.0,339000.0
Stamford,Connecticut,825.0,2.0,1.0,219000.0
Stamford,Connecticut,8001.0,6.0,6.0,3900000.0
Stamford,Connecticut,1624.0,2.0,2.0,375000.0
Stamford,Connecticut,1275.0,3.0,2.0,335000.0
Stamford,Connecticut,725.0,1.0,1.0,165000.0
Stamford,Connecticut,1372.0,3.0,3.0,425000.0
Stamford,Connecticut,8584.0,,,3600000.0
Stamford,Connecticut,2465.0,6.0,6.0,800000.0
Stamford,Connecticut,1376.0,2.0,3.0,475000.0
Stamford,Connecticut,1482.0,2.0,3.0,599990.0
Stamford,Connecticut,1600.0,2.0,2.0,508000.0
Stamford,Connecticut,1247.0,6.0,6.0,1199000.0
Stamford,Connecticut,2400.0,3.0,3.0,1025000.0
Stamford,Connecticut,1988.0,3.0,3.0,599000.0
Stamford,Connecticut,1470.0,2.0,3.0,625000.0
Stamford,Connecticut,4387.0,5.0,5.0,1850000.0
Stamford,Connecticut,2988.0,5.0,4.0,679000.0
Stamford,Connecticut,2626.0,4.0,3.0,739000.0
Stamford,Connecticut,3966.0,4.0,4.0,875000.0
Stamford,Connecticut,2898.0,4.0,4.0,975000.0
Stamford,Connecticut,3573.0,4.0,4.0,895000.0
Stamford,Connecticut,3906.0,4.0,4.0,789000.0
Stamford,Connecticut,3118.0,4.0,4.0,845000.0
Stamford,Connecticut,3002.0,4.0,3.0,795000.0
Stamford,Connecticut,5522.0,4.0,5.0,1599000.0
Stamford,Connecticut,8463.0,5.0,6.0,2100000.0
Stamford,Connecticut,2192.0,4.0,3.0,787500.0
Stamford,Connecticut,10427.0,5.0,6.0,3200000.0
Stamford,Connecticut,3432.0,6.0,4.0,885000.0
Stamford,Connecticut,3184.0,4.0,5.0,819000.0
Stamford,Connecticut,2800.0,5.0,3.0,899000.0
Stamford,Connecticut,9043.0,7.0,9.0,2995000.0
Stamford,Connecticut,4540.0,4.0,5.0,1499000.0
Stamford,Connecticut,4198.0,5.0,5.0,1150000.0
Stamford,Connecticut,5254.0,4.0,7.0,1379000.0
Stamford,Connecticut,4416.0,5.0,4.0,1500000.0
Stamford,Connecticut,5272.0,5.0,5.0,1649000.0
Stamford,Connecticut,3340.0,3.0,3.0,1144899.0
Stamford,Connecticut,3100.0,4.0,5.0,1299000.0
Stamford,Connecticut,1715.0,2.0,2.0,312700.0
Stamford,Connecticut,1199.0,2.0,2.0,425000.0
Stamford,Connecticut,2636.0,2.0,4.0,550000.0
Stamford,Connecticut,819.0,2.0,1.0,249000.0
Stamford,Connecticut,1539.0,2.0,3.0,618000.0
Stamford,Connecticut,1492.0,3.0,3.0,610000.0
Stamford,Connecticut,1066.0,1.0,2.0,399000.0
Stamford,Connecticut,1365.0,2.0,2.0,449000.0
Stamford,Connecticut,,,,3500000.0
Stamford,Connecticut,1050.0,2.0,1.0,255000.0
Stamford,Connecticut,1355.0,2.0,2.0,360000.0
Stamford,Connecticut,1120.0,2.0,2.0,340000.0
Stamford,Connecticut,1646.0,2.0,2.0,380000.0
Stamford,Connecticut,2292.0,6.0,3.0,599999.0
Stamford,Connecticut,1451.0,2.0,3.0,390000.0
Stamford,Connecticut,1204.0,2.0,3.0,345000.0
Stamford,Connecticut,1150.0,2.0,2.0,360000.0
Stamford,Connecticut,1076.0,2.0,2.0,284900.0
Stamford,Connecticut,1064.0,2.0,2.0,319000.0
Stamford,Connecticut,1500.0,2.0,3.0,399000.0
Stamford,Connecticut,700.0,1.0,1.0,259000.0
Stamford,Connecticut,1031.0,2.0,2.0,349900.0
Stamford,Connecticut,1720.0,3.0,4.0,449999.0
Stamford,Connecticut,1738.0,3.0,3.0,469000.0
Stamford,Connecticut,1872.0,4.0,3.0,699000.0
Stamford,Connecticut,844.0,1.0,1.0,275000.0
Stamford,Connecticut,6000.0,5.0,5.0,1599999.0
Stamford,Connecticut,5787.0,6.0,7.0,3000000.0
Stamford,Connecticut,3557.0,4.0,4.0,1049000.0
Stamford,Connecticut,564.0,,1.0,155000.0
Stamford,Connecticut,427.0,1.0,1.0,116900.0
Stamford,Connecticut,1136.0,2.0,2.0,300000.0
Stamford,Connecticut,763.0,2.0,1.0,229000.0
Stamford,Connecticut,775.0,2.0,1.0,230000.0
Stamford,Connecticut,7712.0,7.0,10.0,4950000.0
Stamford,Connecticut,1942.0,3.0,2.0,850000.0
Stamford,Connecticut,854.0,1.0,1.0,215000.0
Stamford,Connecticut,1749.0,3.0,3.0,479000.0
Stamford,Connecticut,1100.0,2.0,2.0,399900.0
Stamford,Connecticut,1450.0,2.0,3.0,395000.0
Stamford,Connecticut,875.0,2.0,1.0,245000.0
Stamford,Connecticut,5896.0,5.0,6.0,2199000.0
Stamford,Connecticut,3861.0,4.0,5.0,1500000.0
Stamford,Connecticut,1700.0,3.0,2.0,350000.0
Stamford,Connecticut,1000.0,1.0,1.0,264900.0
Stamford,Connecticut,1038.0,2.0,2.0,299000.0
Stamford,Connecticut,1382.0,2.0,3.0,369900.0
Stamford,Connecticut,2120.0,3.0,3.0,495000.0
Stamford,Connecticut,1450.0,2.0,3.0,379000.0
Stamford,Connecticut,1095.0,2.0,1.0,349000.0
Stamford,Connecticut,940.0,1.0,1.0,284900.0
Stamford,Connecticut,650.0,1.0,1.0,235000.0
Stamford,Connecticut,1202.0,2.0,2.0,415000.0
Stamford,Connecticut,1650.0,3.0,2.0,425000.0
Stamford,Connecticut,710.0,1.0,1.0,225000.0
Stamford,Connecticut,1300.0,2.0,2.0,399999.0
Stamford,Connecticut,4468.0,5.0,5.0,1299000.0
Stamford,Connecticut,1064.0,2.0,2.0,399000.0
Stamford,Connecticut,610.0,1.0,1.0,220000.0
Stamford,Connecticut,1720.0,2.0,2.0,639000.0
Stamford,Connecticut,4381.0,6.0,5.0,1390000.0
Stamford,Connecticut,2086.0,3.0,4.0,695000.0
Stamford,Connecticut,,,,295500.0
Stamford,Connecticut,1496.0,3.0,3.0,335000.0
Stamford,Connecticut,,,,200000.0
