,city,state,house_size,bed,bath,price,price_range,city_encoded
0,McLean,Virginia,1141.0,2.0,2.0,435000.0,0-2M,0
1,McLean,Virginia,779.0,1.0,1.0,265000.0,0-2M,0
2,McLean,Virginia,6180.0,6.0,6.0,1873990.0,0-2M,0
3,McLean,Virginia,17743.0,8.0,10.0,7500000.0,5M-10M,0
4,McLean,Virginia,12354.0,7.0,10.0,9500000.0,5M-10M,0
5,McLean,Virginia,8936.0,6.0,8.0,3100000.0,2M-5M,0
6,McLean,Virginia,1305.0,2.0,2.0,499900.0,0-2M,0
7,McLean,Virginia,8300.0,6.0,7.0,2390000.0,2M-5M,0
8,McLean,Virginia,10178.0,6.0,9.0,8500000.0,5M-10M,0
9,McLean,Virginia,3849.0,5.0,5.0,1849000.0,0-2M,0
10,McLean,Virginia,6771.0,5.0,5.0,2699999.0,2M-5M,0
11,McLean,Virginia,1246.0,1.0,1.0,899900.0,0-2M,0
12,McLean,Virginia,5797.0,5.0,5.0,2200000.0,2M-5M,0
13,McLean,Virginia,1957.0,2.0,2.0,1425000.0,0-2M,0
14,McLean,Virginia,7103.0,5.0,7.0,2411000.0,2M-5M,0
15,McLean,Virginia,8600.0,7.0,9.0,4300000.0,2M-5M,0
16,McLean,Virginia,727.0,2.0,2.0,895000.0,0-2M,0
17,McLean,Virginia,12210.0,8.0,11.0,4950000.0,2M-5M,0
18,McLean,Virginia,809.0,1.0,1.0,290000.0,0-2M,0
19,McLean,Virginia,884.0,2.0,2.0,288000.0,0-2M,0
20,McLean,Virginia,626.0,1.0,1.0,249000.0,0-2M,0
21,McLean,Virginia,1132.0,2.0,2.0,469000.0,0-2M,0
22,McLean,Virginia,10800.0,6.0,9.0,3999000.0,2M-5M,0
23,McLean,Virginia,7170.0,5.0,8.0,2985000.0,2M-5M,0
24,McLean,Virginia,1689.0,2.0,3.0,1599000.0,0-2M,0
25,McLean,Virginia,1060.0,2.0,2.0,265000.0,0-2M,0
26,McLean,Virginia,5400.0,6.0,5.0,1900000.0,0-2M,0
27,McLean,Virginia,7015.0,7.0,8.0,2575000.0,2M-5M,0
28,McLean,Virginia,5595.0,6.0,5.0,7995000.0,5M-10M,0
29,McLean,Virginia,1150.0,2.0,2.0,329950.0,0-2M,0
30,McLean,Virginia,5322.0,5.0,6.0,2295000.0,2M-5M,0
31,McLean,Virginia,8900.0,6.0,7.0,2999000.0,2M-5M,0
32,McLean,Virginia,642.0,1.0,1.0,299900.0,0-2M,0
33,McLean,Virginia,5172.0,5.0,6.0,2275000.0,2M-5M,0
34,McLean,Virginia,789.0,1.0,1.0,225000.0,0-2M,0
35,McLean,Virginia,2140.0,4.0,3.0,1099900.0,0-2M,0
36,McLean,Virginia,6026.0,7.0,7.0,2475000.0,2M-5M,0
37,McLean,Virginia,7489.0,8.0,9.0,3588000.0,2M-5M,0
38,McLean,Virginia,1920.0,4.0,3.0,1395000.0,0-2M,0
39,McLean,Virginia,1160.0,2.0,2.0,930000.0,0-2M,0
40,McLean,Virginia,16243.0,10.0,13.0,5300000.0,5M-10M,0
41,McLean,Virginia,4728.0,6.0,7.0,2550000.0,2M-5M,0
42,McLean,Virginia,2540.0,3.0,2.0,2900000.0,2M-5M,0
43,McLean,Virginia,1327.0,2.0,2.0,575000.0,0-2M,0
44,McLean,Virginia,9701.0,8.0,9.0,3500000.0,2M-5M,0
45,McLean,Virginia,4519.0,4.0,5.0,1825000.0,0-2M,0
46,McLean,Virginia,10771.0,6.0,8.0,3695000.0,2M-5M,0
47,McLean,Virginia,7650.0,7.0,7.0,2550000.0,2M-5M,0
48,McLean,Virginia,1629.0,2.0,2.0,1269000.0,0-2M,0
49,McLean,Virginia,1689.0,2.0,3.0,1448000.0,0-2M,0
50,McLean,Virginia,2284.0,2.0,3.0,2290000.0,2M-5M,0
51,McLean,Virginia,1601.0,2.0,2.0,1478000.0,0-2M,0
52,McLean,Virginia,8838.0,4.0,8.0,8700000.0,5M-10M,0
53,McLean,Virginia,5660.0,4.0,4.0,2000000.0,0-2M,0
54,McLean,Virginia,1160.0,2.0,2.0,850000.0,0-2M,0
55,McLean,Virginia,6063.0,6.0,6.0,2000000.0,0-2M,0
56,McLean,Virginia,2802.0,5.0,4.0,968900.0,0-2M,0
57,McLean,Virginia,1598.0,2.0,3.0,886950.0,0-2M,0
58,McLean,Virginia,11804.0,8.0,12.0,4995000.0,2M-5M,0
59,McLean,Virginia,4320.0,4.0,5.0,1325000.0,0-2M,0
60,McLean,Virginia,10453.0,7.0,10.0,7500000.0,5M-10M,0
61,McLean,Virginia,4351.0,4.0,4.0,1884900.0,0-2M,0
62,McLean,Virginia,709.0,1.0,1.0,557900.0,0-2M,0
63,McLean,Virginia,12104.0,6.0,9.0,4250000.0,2M-5M,0
64,McLean,Virginia,690.0,1.0,1.0,339900.0,0-2M,0
65,McLean,Virginia,1344.0,2.0,2.0,449900.0,0-2M,0
66,McLean,Virginia,2856.0,4.0,5.0,1255000.0,0-2M,0
67,McLean,Virginia,762.0,1.0,1.0,260000.0,0-2M,0
68,McLean,Virginia,4630.0,5.0,5.0,1695000.0,0-2M,0
69,McLean,Virginia,7432.0,6.0,7.0,2499950.0,2M-5M,0
70,McLean,Virginia,7606.0,6.0,7.0,2360000.0,2M-5M,0
71,McLean,Virginia,774.0,1.0,1.0,649000.0,0-2M,0
72,McLean,Virginia,774.0,1.0,1.0,629500.0,0-2M,0
73,McLean,Virginia,761.0,1.0,1.0,634700.0,0-2M,0
74,McLean,Virginia,943.0,1.0,1.0,275000.0,0-2M,0
75,McLean,Virginia,990.0,1.0,1.0,289000.0,0-2M,0
76,McLean,Virginia,2267.0,3.0,4.0,799000.0,0-2M,0
77,McLean,Virginia,992.0,1.0,1.0,345000.0,0-2M,0
78,McLean,Virginia,8002.0,6.0,7.0,2375000.0,2M-5M,0
79,McLean,Virginia,2971.0,4.0,5.0,950000.0,0-2M,0
80,McLean,Virginia,1202.0,2.0,2.0,507500.0,0-2M,0
81,McLean,Virginia,689.0,1.0,1.0,245000.0,0-2M,0
82,McLean,Virginia,1780.0,3.0,3.0,600000.0,0-2M,0
83,McLean,Virginia,7805.0,7.0,8.0,3188000.0,2M-5M,0
84,McLean,Virginia,5740.0,6.0,7.0,2249000.0,2M-5M,0
85,McLean,Virginia,992.0,1.0,1.0,363500.0,0-2M,0
86,McLean,Virginia,4443.0,4.0,5.0,1750000.0,0-2M,0
87,McLean,Virginia,2945.0,3.0,4.0,1185000.0,0-2M,0
88,McLean,Virginia,5848.0,6.0,5.0,2295000.0,2M-5M,0
89,McLean,Virginia,12523.0,7.0,12.0,9250000.0,5M-10M,0
90,McLean,Virginia,1504.0,3.0,2.0,525000.0,0-2M,0
91,McLean,Virginia,1112.0,2.0,2.0,329000.0,0-2M,0
92,McLean,Virginia,1050.0,2.0,2.0,354900.0,0-2M,0
93,McLean,Virginia,3716.0,5.0,5.0,1549888.0,0-2M,0
94,McLean,Virginia,1150.0,2.0,2.0,339900.0,0-2M,0
95,McLean,Virginia,8885.0,5.0,7.0,2295000.0,2M-5M,0
96,McLean,Virginia,3902.0,4.0,4.0,1480000.0,0-2M,0
97,McLean,Virginia,2900.0,5.0,3.0,1395000.0,0-2M,0
98,McLean,Virginia,3102.0,3.0,4.0,799990.0,0-2M,0
99,McLean,Virginia,2730.0,5.0,4.0,1200000.0,0-2M,0
100,McLean,Virginia,4215.0,4.0,6.0,1295000.0,0-2M,0
101,McLean,Virginia,1112.0,2.0,2.0,325000.0,0-2M,0
102,McLean,Virginia,1244.0,2.0,3.0,440000.0,0-2M,0
103,McLean,Virginia,8220.0,6.0,8.0,3695000.0,2M-5M,0
104,McLean,Virginia,1500.0,4.0,3.0,1450000.0,0-2M,0
105,McLean,Virginia,13814.0,6.0,12.0,6999900.0,5M-10M,0
106,McLean,Virginia,11081.0,6.0,8.0,4495000.0,2M-5M,0
107,McLean,Virginia,894.0,1.0,2.0,675000.0,0-2M,0
108,McLean,Virginia,952.0,2.0,2.0,379000.0,0-2M,0
109,McLean,Virginia,1132.0,2.0,2.0,435000.0,0-2M,0
110,McLean,Virginia,10066.0,6.0,7.0,5250000.0,5M-10M,0
111,McLean,Virginia,2409.0,4.0,3.0,874900.0,0-2M,0
