,city,state,house_size,bed,bath,price,price_range,city_encoded
0,Las Vegas,New Mexico,1200.0,3.0,2.0,120000.0,0-2M,0
1,Las Vegas,New Mexico,2432.0,4.0,3.0,165000.0,0-2M,0
2,Las Vegas,New Mexico,1200.0,2.0,1.0,129000.0,0-2M,0
3,Las Vegas,New Mexico,1680.0,2.0,2.0,275000.0,0-2M,0
4,Las Vegas,New Mexico,2738.0,4.0,3.0,360000.0,0-2M,0
5,Las Vegas,New Mexico,1591.0,3.0,2.0,125000.0,0-2M,0
6,Las Vegas,New Mexico,1200.0,3.0,1.0,114500.0,0-2M,0
7,Las Vegas,New Mexico,2637.0,5.0,3.0,259000.0,0-2M,0
8,Las Vegas,New Mexico,1400.0,2.0,2.0,130000.0,0-2M,0
9,Las Vegas,New Mexico,1614.0,3.0,1.0,130000.0,0-2M,0
10,Las Vegas,New Mexico,1758.0,3.0,2.0,249900.0,0-2M,0
11,Las Vegas,New Mexico,1996.0,5.0,3.0,199000.0,0-2M,0
12,Las Vegas,New Mexico,1318.0,3.0,1.0,182000.0,0-2M,0
13,Las Vegas,New Mexico,1305.0,1.0,1.0,165000.0,0-2M,0
14,Las Vegas,New Mexico,1628.0,2.0,1.0,160000.0,0-2M,0
15,Las Vegas,New Mexico,1775.0,3.0,2.0,230000.0,0-2M,0
16,Las Vegas,New Mexico,1232.0,3.0,2.0,275000.0,0-2M,0
17,Las Vegas,Nevada,1818.0,4.0,3.0,479000.0,0-2M,0
18,Las Vegas,Nevada,1536.0,3.0,2.0,500000.0,0-2M,0
19,Las Vegas,Nevada,1151.0,2.0,2.0,285000.0,0-2M,0
20,Las Vegas,Nevada,1384.0,3.0,3.0,349990.0,0-2M,0
21,Las Vegas,Nevada,2465.0,4.0,3.0,619950.0,0-2M,0
22,Las Vegas,Nevada,1534.0,2.0,3.0,390000.0,0-2M,0
23,Las Vegas,Nevada,882.0,2.0,2.0,245000.0,0-2M,0
24,Las Vegas,Nevada,2632.0,4.0,3.0,545900.0,0-2M,0
25,Las Vegas,Nevada,5110.0,5.0,7.0,3000000.0,2M-5M,0
26,Las Vegas,Nevada,1228.0,2.0,2.0,399987.0,0-2M,0
27,Las Vegas,Nevada,680.0,1.0,1.0,188000.0,0-2M,0
28,Las Vegas,Nevada,1231.0,2.0,2.0,275000.0,0-2M,0
29,Las Vegas,Nevada,1301.0,3.0,3.0,375000.0,0-2M,0
30,Las Vegas,Nevada,1078.0,2.0,2.0,285000.0,0-2M,0
31,Las Vegas,Nevada,1365.0,2.0,3.0,262000.0,0-2M,0
32,Las Vegas,Nevada,1538.0,3.0,2.0,395000.0,0-2M,0
33,Las Vegas,Nevada,960.0,2.0,2.0,248000.0,0-2M,0
34,Las Vegas,Nevada,1621.0,2.0,2.0,639900.0,0-2M,0
35,Las Vegas,Nevada,2988.0,4.0,4.0,674900.0,0-2M,0
36,Las Vegas,Nevada,3247.0,5.0,3.0,590000.0,0-2M,0
37,Las Vegas,Nevada,2325.0,4.0,3.0,589500.0,0-2M,0
38,Las Vegas,Nevada,1883.0,4.0,3.0,459900.0,0-2M,0
39,Las Vegas,Nevada,2335.0,4.0,3.0,710000.0,0-2M,0
40,Las Vegas,Nevada,2128.0,4.0,3.0,589888.0,0-2M,0
41,Las Vegas,Nevada,2693.0,4.0,3.0,990000.0,0-2M,0
42,Las Vegas,Nevada,2971.0,4.0,3.0,690000.0,0-2M,0
43,Las Vegas,Nevada,3940.0,5.0,4.0,2269000.0,2M-5M,0
44,Las Vegas,Nevada,1042.0,2.0,2.0,410000.0,0-2M,0
45,Las Vegas,Nevada,775.0,1.0,1.0,235000.0,0-2M,0
46,Las Vegas,Nevada,1110.0,3.0,2.0,425000.0,0-2M,0
47,Las Vegas,Nevada,1232.0,2.0,1.0,299000.0,0-2M,0
48,Las Vegas,Nevada,1677.0,3.0,3.0,450000.0,0-2M,0
49,Las Vegas,Nevada,1744.0,3.0,3.0,425000.0,0-2M,0
50,Las Vegas,Nevada,2616.0,5.0,5.0,768000.0,0-2M,0
51,Las Vegas,Nevada,1879.0,3.0,2.0,975000.0,0-2M,0
52,Las Vegas,Nevada,4414.0,4.0,5.0,2950000.0,2M-5M,0
53,Las Vegas,Nevada,2189.0,2.0,2.0,1190000.0,0-2M,0
54,Las Vegas,Nevada,2414.0,3.0,3.0,1350000.0,0-2M,0
55,Las Vegas,Nevada,2155.0,3.0,3.0,415000.0,0-2M,0
56,Las Vegas,Nevada,2560.0,4.0,4.0,760000.0,0-2M,0
57,Las Vegas,Nevada,1136.0,2.0,2.0,299900.0,0-2M,0
58,Las Vegas,Nevada,700.0,1.0,1.0,189900.0,0-2M,0
59,Las Vegas,Nevada,4051.0,5.0,5.0,800000.0,0-2M,0
60,Las Vegas,Nevada,934.0,2.0,2.0,265000.0,0-2M,0
61,Las Vegas,Nevada,1693.0,3.0,3.0,479900.0,0-2M,0
62,Las Vegas,Nevada,4508.0,4.0,5.0,1100000.0,0-2M,0
63,Las Vegas,Nevada,807.0,1.0,1.0,224900.0,0-2M,0
64,Las Vegas,Nevada,1733.0,3.0,3.0,489900.0,0-2M,0
65,Las Vegas,Nevada,924.0,2.0,1.0,175000.0,0-2M,0
66,Las Vegas,Nevada,1550.0,3.0,3.0,399900.0,0-2M,0
67,Las Vegas,Nevada,1977.0,4.0,3.0,420000.0,0-2M,0
68,Las Vegas,Nevada,1000.0,2.0,1.0,189900.0,0-2M,0
69,Las Vegas,Nevada,1394.0,2.0,3.0,649000.0,0-2M,0
70,Las Vegas,Nevada,1536.0,3.0,2.0,405000.0,0-2M,0
71,Las Vegas,Nevada,4295.0,4.0,4.0,1600000.0,0-2M,0
72,Las Vegas,Nevada,4992.0,4.0,5.0,1599000.0,0-2M,0
73,Las Vegas,Nevada,1152.0,2.0,2.0,1975000.0,0-2M,0
74,Las Vegas,Nevada,2723.0,3.0,4.0,839900.0,0-2M,0
75,Las Vegas,Nevada,6104.0,5.0,5.0,3250000.0,2M-5M,0
76,Las Vegas,Nevada,5750.0,4.0,5.0,6750000.0,5M-10M,0
77,Las Vegas,Nevada,5861.0,5.0,4.0,1850000.0,0-2M,0
78,Las Vegas,Nevada,3145.0,3.0,3.0,659900.0,0-2M,0
79,Las Vegas,Nevada,3536.0,4.0,3.0,769999.0,0-2M,0
80,Las Vegas,Nevada,2530.0,4.0,3.0,609990.0,0-2M,0
81,Las Vegas,Nevada,1523.0,3.0,2.0,425000.0,0-2M,0
82,Las Vegas,Nevada,2001.0,3.0,3.0,469900.0,0-2M,0
83,Las Vegas,Nevada,2297.0,3.0,3.0,450000.0,0-2M,0
84,Las Vegas,Nevada,1641.0,3.0,3.0,459900.0,0-2M,0
85,Las Vegas,Nevada,1950.0,4.0,3.0,474900.0,0-2M,0
86,Las Vegas,Nevada,4690.0,5.0,4.0,1100000.0,0-2M,0
87,Las Vegas,Nevada,1296.0,2.0,2.0,399000.0,0-2M,0
88,Las Vegas,Nevada,10633.0,8.0,10.0,5895000.0,5M-10M,0
89,Las Vegas,Nevada,5872.0,5.0,5.0,4300000.0,2M-5M,0
90,Las Vegas,Nevada,1483.0,3.0,2.0,360000.0,0-2M,0
91,Las Vegas,Nevada,5624.0,6.0,7.0,1510000.0,0-2M,0
92,Las Vegas,Nevada,1296.0,2.0,2.0,419000.0,0-2M,0
93,Las Vegas,Nevada,5037.0,5.0,6.0,2300000.0,2M-5M,0
94,Las Vegas,Nevada,4786.0,6.0,5.0,1149000.0,0-2M,0
95,Las Vegas,Nevada,1682.0,2.0,2.0,739995.0,0-2M,0
96,Las Vegas,Nevada,3556.0,5.0,5.0,989900.0,0-2M,0
97,Las Vegas,Nevada,841.0,1.0,1.0,565000.0,0-2M,0
98,Las Vegas,Nevada,6277.0,4.0,6.0,4999000.0,2M-5M,0
99,Las Vegas,Nevada,2756.0,2.0,3.0,5500000.0,5M-10M,0
100,Las Vegas,Nevada,2759.0,3.0,3.0,2250000.0,2M-5M,0
101,Las Vegas,Nevada,4144.0,3.0,4.0,1700000.0,0-2M,0
102,Las Vegas,Nevada,1652.0,1.0,2.0,2450000.0,2M-5M,0
103,Las Vegas,Nevada,1586.0,3.0,2.0,1450000.0,0-2M,0
104,Las Vegas,Nevada,7600.0,4.0,5.0,7000000.0,5M-10M,0
105,Las Vegas,Nevada,6234.0,5.0,5.0,3850000.0,2M-5M,0
106,Las Vegas,Nevada,5310.0,2.0,3.0,4499999.0,2M-5M,0
107,Las Vegas,Nevada,2295.0,4.0,3.0,474999.0,0-2M,0
108,Las Vegas,Nevada,2803.0,3.0,2.0,800000.0,0-2M,0
109,Las Vegas,Nevada,6918.0,4.0,7.0,10750000.0,10M-50M,0
110,Las Vegas,Nevada,1089.0,2.0,2.0,314900.0,0-2M,0
111,Las Vegas,Nevada,3222.0,5.0,5.0,730000.0,0-2M,0
112,Las Vegas,Nevada,847.0,1.0,2.0,399000.0,0-2M,0
113,Las Vegas,Nevada,1990.0,3.0,3.0,554900.0,0-2M,0
114,Las Vegas,Nevada,1845.0,4.0,3.0,471000.0,0-2M,0
115,Las Vegas,Nevada,2431.0,4.0,3.0,585000.0,0-2M,0
116,Las Vegas,Nevada,1365.0,3.0,3.0,278000.0,0-2M,0
117,Las Vegas,Nevada,1231.0,2.0,2.0,275000.0,0-2M,0
118,Las Vegas,Nevada,3533.0,4.0,4.0,629000.0,0-2M,0
119,Las Vegas,Nevada,3203.0,6.0,3.0,650000.0,0-2M,0
120,Las Vegas,Nevada,3824.0,6.0,6.0,888888.0,0-2M,0
121,Las Vegas,Nevada,3043.0,3.0,3.0,990000.0,0-2M,0
122,Las Vegas,Nevada,5217.0,3.0,4.0,10000000.0,5M-10M,0
123,Las Vegas,Nevada,874.0,1.0,2.0,349900.0,0-2M,0
124,Las Vegas,Nevada,1520.0,4.0,1.0,294900.0,0-2M,0
125,Las Vegas,Nevada,1070.0,2.0,3.0,148990.0,0-2M,0
126,Las Vegas,Nevada,9427.0,5.0,8.0,21000000.0,10M-50M,0
127,Las Vegas,Nevada,3522.0,4.0,4.0,819000.0,0-2M,0
128,Las Vegas,Nevada,1592.0,2.0,2.0,450000.0,0-2M,0
129,Las Vegas,Nevada,1595.0,3.0,3.0,380000.0,0-2M,0
130,Las Vegas,Nevada,1260.0,2.0,2.0,399999.0,0-2M,0
131,Las Vegas,Nevada,1966.0,3.0,3.0,440000.0,0-2M,0
132,Las Vegas,Nevada,1042.0,2.0,2.0,420000.0,0-2M,0
133,Las Vegas,Nevada,874.0,1.0,2.0,369888.0,0-2M,0
134,Las Vegas,Nevada,2712.0,3.0,4.0,1450000.0,0-2M,0
135,Las Vegas,Nevada,2088.0,3.0,2.0,295000.0,0-2M,0
136,Las Vegas,Nevada,1296.0,2.0,2.0,390000.0,0-2M,0
137,Las Vegas,Nevada,3574.0,6.0,4.0,749900.0,0-2M,0
138,Las Vegas,Nevada,680.0,1.0,1.0,212900.0,0-2M,0
139,Las Vegas,Nevada,978.0,2.0,2.0,220000.0,0-2M,0
140,Las Vegas,Nevada,2461.0,5.0,3.0,680000.0,0-2M,0
141,Las Vegas,Nevada,4658.0,7.0,5.0,825000.0,0-2M,0
142,Las Vegas,Nevada,5266.0,6.0,5.0,1499900.0,0-2M,0
143,Las Vegas,Nevada,1794.0,3.0,3.0,453000.0,0-2M,0
144,Las Vegas,Nevada,1392.0,5.0,2.0,384980.0,0-2M,0
145,Las Vegas,Nevada,1930.0,3.0,2.0,494000.0,0-2M,0
146,Las Vegas,Nevada,2834.0,3.0,3.0,724900.0,0-2M,0
147,Las Vegas,Nevada,3196.0,4.0,3.0,754888.0,0-2M,0
148,Las Vegas,Nevada,1394.0,2.0,3.0,620000.0,0-2M,0
149,Las Vegas,Nevada,940.0,1.0,1.0,1099999.0,0-2M,0
150,Las Vegas,Nevada,5555.0,5.0,5.0,2999990.0,2M-5M,0
151,Las Vegas,Nevada,1704.0,4.0,2.0,449000.0,0-2M,0
152,Las Vegas,Nevada,1296.0,2.0,2.0,329900.0,0-2M,0
153,Las Vegas,Nevada,1584.0,3.0,3.0,320000.0,0-2M,0
154,Las Vegas,Nevada,684.0,1.0,1.0,200000.0,0-2M,0
155,Las Vegas,Nevada,3222.0,5.0,5.0,730000.0,0-2M,0
156,Las Vegas,Nevada,978.0,2.0,2.0,199900.0,0-2M,0
157,Las Vegas,Nevada,1387.0,3.0,3.0,329000.0,0-2M,0
158,Las Vegas,Nevada,4543.0,6.0,5.0,849900.0,0-2M,0
159,Las Vegas,Nevada,1758.0,2.0,2.0,580000.0,0-2M,0
160,Las Vegas,Nevada,1567.0,3.0,3.0,400000.0,0-2M,0
161,Las Vegas,Nevada,2730.0,4.0,3.0,505000.0,0-2M,0
162,Las Vegas,Nevada,2220.0,4.0,3.0,495000.0,0-2M,0
163,Las Vegas,Nevada,2775.0,4.0,3.0,525000.0,0-2M,0
164,Las Vegas,Nevada,2291.0,4.0,3.0,510000.0,0-2M,0
165,Las Vegas,Nevada,2484.0,3.0,3.0,699000.0,0-2M,0
166,Las Vegas,Nevada,1274.0,3.0,2.0,399999.0,0-2M,0
167,Las Vegas,Nevada,989.0,2.0,2.0,290000.0,0-2M,0
168,Las Vegas,Nevada,1704.0,4.0,2.0,485000.0,0-2M,0
169,Las Vegas,Nevada,4546.0,4.0,5.0,2200000.0,2M-5M,0
170,Las Vegas,Nevada,1868.0,4.0,3.0,441999.0,0-2M,0
171,Las Vegas,Nevada,2482.0,4.0,3.0,595000.0,0-2M,0
172,Las Vegas,Nevada,4883.0,5.0,5.0,1160000.0,0-2M,0
173,Las Vegas,Nevada,899.0,2.0,2.0,249950.0,0-2M,0
174,Las Vegas,Nevada,2978.0,4.0,3.0,649000.0,0-2M,0
175,Las Vegas,Nevada,8724.0,5.0,6.0,4750000.0,2M-5M,0
176,Las Vegas,Nevada,2564.0,4.0,3.0,650000.0,0-2M,0
177,Las Vegas,Nevada,1394.0,2.0,3.0,799888.0,0-2M,0
178,Las Vegas,Nevada,2976.0,4.0,4.0,870000.0,0-2M,0
179,Las Vegas,Nevada,3524.0,5.0,3.0,725000.0,0-2M,0
180,Las Vegas,Nevada,783.0,1.0,1.0,555000.0,0-2M,0
181,Las Vegas,Nevada,2910.0,2.0,3.0,3750000.0,2M-5M,0
182,Las Vegas,Nevada,3018.0,4.0,4.0,1550000.0,0-2M,0
183,Las Vegas,Nevada,3203.0,4.0,4.0,1199000.0,0-2M,0
184,Las Vegas,Nevada,1207.0,2.0,2.0,435000.0,0-2M,0
185,Las Vegas,Nevada,1892.0,4.0,2.0,498000.0,0-2M,0
186,Las Vegas,Nevada,3128.0,4.0,3.0,1100000.0,0-2M,0
187,Las Vegas,Nevada,3802.0,5.0,4.0,1400000.0,0-2M,0
188,Las Vegas,Nevada,1800.0,3.0,3.0,194900.0,0-2M,0
189,Las Vegas,Nevada,1793.0,3.0,3.0,425000.0,0-2M,0
190,Las Vegas,Nevada,1547.0,3.0,3.0,402000.0,0-2M,0
