city,state,house_size,bed,bath,price
Las Vegas,New Mexico,,,,50000.0
Las Vegas,New Mexico,,,,50000.0
Las Vegas,New Mexico,,,,50000.0
Las Vegas,New Mexico,,,,50000.0
Las Vegas,New Mexico,,,,135000.0
Las Vegas,New Mexico,,,,135000.0
Las Vegas,New Mexico,,4.0,4.0,724900.0
Las Vegas,New Mexico,,,,1376585.0
Las Vegas,New Mexico,,,,320000.0
Las Vegas,New Mexico,,,,35000.0
Las Vegas,New Mexico,,,,90000.0
Las Vegas,New Mexico,,,,50000.0
Las Vegas,New Mexico,,,,265000.0
Las Vegas,New Mexico,1200.0,3.0,2.0,120000.0
Las Vegas,New Mexico,2432.0,4.0,3.0,165000.0
Las Vegas,New Mexico,1200.0,2.0,1.0,129000.0
Las Vegas,New Mexico,,3.0,1.0,185000.0
Las Vegas,New Mexico,1680.0,2.0,2.0,275000.0
Las Vegas,New Mexico,2738.0,4.0,3.0,360000.0
Las Vegas,New Mexico,1591.0,3.0,2.0,125000.0
Las Vegas,New Mexico,,,,35000.0
Las Vegas,New Mexico,,3.0,1.0,79900.0
Las Vegas,New Mexico,1200.0,3.0,1.0,114500.0
Las Vegas,New Mexico,,3.0,3.0,135000.0
Las Vegas,New Mexico,,4.0,5.0,135000.0
Las Vegas,New Mexico,2637.0,5.0,3.0,259000.0
Las Vegas,New Mexico,1400.0,2.0,2.0,130000.0
Las Vegas,New Mexico,1614.0,3.0,1.0,130000.0
Las Vegas,New Mexico,1758.0,3.0,2.0,249900.0
Las Vegas,New Mexico,,5.0,3.0,199000.0
Las Vegas,New Mexico,1996.0,5.0,3.0,199000.0
Las Vegas,New Mexico,,,,499500.0
Las Vegas,New Mexico,,,,499500.0
Las Vegas,New Mexico,,,,125000.0
Las Vegas,New Mexico,,,,125000.0
Las Vegas,New Mexico,,,,354400.0
Las Vegas,New Mexico,,,,190000.0
Las Vegas,New Mexico,,2.0,2.0,119500.0
Las Vegas,New Mexico,,2.0,1.0,27900.0
Las Vegas,New Mexico,1318.0,3.0,1.0,182000.0
Las Vegas,New Mexico,1305.0,1.0,1.0,165000.0
Las Vegas,New Mexico,1628.0,2.0,1.0,160000.0
Las Vegas,New Mexico,,7.0,4.0,325000.0
