city,state,house_size,bed,bath,price
Miami,Florida,982.0,1.0,2.0,194900.0
Miami,Florida,5693.0,8.0,6.0,1459999.0
Miami,Florida,1586.0,3.0,2.0,567900.0
Miami,Florida,1590.0,3.0,3.0,369000.0
Miami,Florida,,2.0,2.0,284900.0
Miami,Florida,870.0,2.0,1.0,225000.0
Miami,Florida,3408.0,5.0,5.0,798721.0
Miami,Florida,3468.0,5.0,,719990.0
Miami,Florida,2806.0,5.0,,664990.0
Miami,Florida,2086.0,3.0,,584990.0
Miami,Florida,2806.0,5.0,5.0,674990.0
Miami,Florida,2403.0,4.0,,619990.0
Miami,Florida,2648.0,4.0,,649990.0
Miami,Florida,,,,725000.0
Miami,Florida,,,,350000.0
Miami,Florida,,,,399000.0
Miami,Florida,1414.0,3.0,3.0,415790.0
Miami,Florida,1501.0,3.0,3.0,432490.0
Miami,Florida,2987.0,5.0,3.0,576290.0
Miami,Florida,1654.0,3.0,3.0,399990.0
Miami,Florida,1828.0,3.0,3.0,463990.0
Miami,Florida,2183.0,4.0,3.0,549890.0
Miami,Florida,1878.0,4.0,,416990.0
Miami,Florida,1511.0,3.0,,399990.0
Miami,Florida,1905.0,4.0,,430990.0
Miami,Florida,1732.0,3.0,3.0,508990.0
Miami,Florida,1464.0,3.0,,388990.0
Miami,Florida,3139.0,5.0,3.0,495000.0
Miami,Florida,1697.0,3.0,,419990.0
Miami,Florida,1828.0,4.0,,431990.0
Miami,Florida,1545.0,3.0,3.0,350000.0
Miami,Florida,,,,160000.0
Miami,Florida,1273.0,3.0,2.0,405000.0
Miami,Florida,1386.0,4.0,4.0,385000.0
Miami,Florida,1706.0,3.0,3.0,359000.0
Miami,Florida,1580.0,3.0,3.0,329900.0
Miami,Florida,,4.0,2.0,479990.0
Miami,Florida,,4.0,3.0,489990.0
Miami,Florida,,3.0,2.0,85900.0
Miami,Florida,1794.0,3.0,3.0,550000.0
Miami,Florida,1506.0,4.0,2.0,430000.0
Miami,Florida,1350.0,2.0,3.0,315000.0
Miami,Florida,1300.0,3.0,3.0,315000.0
Miami,Florida,1766.0,3.0,2.0,1249999.0
Miami,Florida,2460.0,4.0,3.0,1099000.0
Miami,Florida,1491.0,3.0,3.0,419000.0
Miami,Florida,1643.0,4.0,3.0,620000.0
Miami,Florida,1334.0,3.0,3.0,389540.0
Miami,Florida,1334.0,3.0,3.0,414490.0
Miami,Florida,1762.0,3.0,3.0,459900.0
Miami,Florida,2023.0,4.0,,444990.0
Miami,Florida,1489.0,3.0,3.0,410790.0
Miami,Florida,1725.0,3.0,3.0,456790.0
Miami,Florida,1697.0,3.0,3.0,453775.0
Miami,Florida,979.0,2.0,2.0,175000.0
Miami,Florida,,,,119000.0
Miami,Florida,3320.0,5.0,5.0,509900.0
Miami,Florida,3221.0,5.0,,571990.0
Miami,Florida,2852.0,4.0,,566990.0
Miami,Florida,1833.0,3.0,,504990.0
Miami,Florida,2541.0,4.0,,539990.0
Miami,Florida,1697.0,3.0,,404990.0
Miami,Florida,1828.0,4.0,,415990.0
Miami,Florida,1545.0,3.0,,375990.0
Miami,Florida,1334.0,3.0,,363990.0
Miami,Florida,1489.0,3.0,,370990.0
Miami,Florida,2502.0,4.0,3.0,649900.0
Miami,Florida,1414.0,3.0,,365990.0
Miami,Florida,1828.0,3.0,,413990.0
Miami,Florida,1334.0,3.0,,386990.0
Miami,Florida,1668.0,3.0,,383990.0
Miami,Florida,1443.0,3.0,,391990.0
Miami,Florida,,,,1750000.0
Miami,Florida,2008.0,3.0,2.0,599900.0
Miami,Florida,2008.0,3.0,2.0,599900.0
Miami,Florida,1944.0,4.0,,436990.0
Miami,Florida,1926.0,4.0,,426990.0
Miami,Florida,1763.0,3.0,,416990.0
Miami,Florida,1094.0,2.0,2.0,289000.0
Miami,Florida,1120.0,1.0,2.0,279000.0
Miami,Florida,,,,130000.0
Miami,Florida,,,,650000.0
Miami,Florida,,,,650000.0
Miami,Florida,1202.0,2.0,2.0,339000.0
Miami,Florida,,3.0,2.0,549000.0
Miami,Florida,2346.0,5.0,3.0,589000.0
Miami,Florida,,,,155000.0
Miami,Florida,5026.0,6.0,4.0,2900000.0
Miami,Florida,1733.0,3.0,3.0,350000.0
Miami,Florida,3508.0,5.0,5.0,1579000.0
Miami,Florida,1117.0,2.0,2.0,330000.0
Miami,Florida,,,,890000.0
Miami,Florida,,,,1500000.0
Miami,Florida,1291.0,2.0,2.0,227000.0
Miami,Florida,1195.0,3.0,1.0,355000.0
Miami,Florida,2558.0,3.0,3.0,989000.0
Miami,Florida,900.0,2.0,2.0,275000.0
Miami,Florida,1593.0,3.0,3.0,460000.0
Miami,Florida,1524.0,4.0,4.0,420000.0
Miami,Florida,1611.0,2.0,3.0,515000.0
Miami,Florida,2539.0,4.0,3.0,635000.0
Miami,Florida,,7.0,5.0,1275000.0
Miami,Florida,,,,5000.0
Miami,Florida,1170.0,2.0,2.0,195000.0
Miami,Florida,2987.0,5.0,,600990.0
Miami,Florida,1637.0,4.0,3.0,375000.0
Miami,Florida,1772.0,3.0,3.0,460000.0
Miami,Florida,930.0,2.0,1.0,255000.0
Miami,Florida,1091.0,1.0,2.0,272000.0
Miami,Florida,1906.0,4.0,,437990.0
Miami,Florida,1827.0,3.0,,522990.0
Miami,Florida,1930.0,4.0,2.0,585000.0
Miami,Florida,1443.0,3.0,,345990.0
Miami,Florida,1583.0,3.0,,415990.0
Miami,Florida,2548.0,4.0,,744990.0
Miami,Florida,2086.0,3.0,,694990.0
Miami,Florida,2403.0,4.0,,714990.0
Miami,Florida,1750.0,3.0,,424990.0
Miami,Florida,1827.0,3.0,,603990.0
Miami,Florida,1449.0,3.0,,406990.0
Miami,Florida,1404.0,3.0,,404990.0
Miami,Florida,8906.0,7.0,9.0,7990000.0
Miami,Florida,,4.0,3.0,638900.0
Miami,Florida,2249.0,4.0,3.0,350000.0
Miami,Florida,1472.0,3.0,2.0,420000.0
Miami,Florida,2847.0,4.0,3.0,709000.0
Miami,Florida,3327.0,4.0,4.0,1100000.0
Miami,Florida,1050.0,2.0,2.0,239000.0
Miami,Florida,3709.0,5.0,3.0,845000.0
Miami,Florida,1697.0,3.0,,357990.0
Miami,Florida,1828.0,3.0,,367990.0
Miami,Florida,1828.0,3.0,,429990.0
Miami,Florida,1334.0,3.0,,399990.0
Miami,Florida,2665.0,5.0,,569990.0
Miami,Florida,5976.0,6.0,7.0,5580000.0
Miami,Florida,1668.0,3.0,,388990.0
Miami,Florida,1668.0,3.0,,404990.0
Miami,Florida,1732.0,3.0,,496990.0
Miami,Florida,2183.0,4.0,,537990.0
Miami,Florida,2439.0,4.0,,557990.0
Miami,Florida,1668.0,3.0,,425990.0
Miami,Florida,1334.0,3.0,,341990.0
Miami,Florida,,4.0,2.0,439990.0
