city,state,house_size,bed,bath,price
San Francisco,California,2100.0,4.0,2.0,2495000.0
San Francisco,California,1624.0,3.0,2.0,988000.0
San Francisco,California,2160.0,3.0,2.0,2695000.0
San Francisco,California,4905.0,,,3000000.0
San Francisco,California,1175.0,2.0,2.0,995000.0
San Francisco,California,1025.0,3.0,1.0,1200000.0
San Francisco,California,5218.0,6.0,,3975000.0
San Francisco,California,1061.0,2.0,2.0,1195000.0
San Francisco,California,1099.0,3.0,2.0,1100000.0
San Francisco,California,1500.0,3.0,2.0,1428000.0
San Francisco,California,1005.0,2.0,2.0,1099000.0
San Francisco,California,738.0,1.0,1.0,849000.0
San Francisco,California,1057.0,4.0,1.0,1024800.0
San Francisco,California,1349.0,3.0,2.0,875000.0
San Francisco,California,1726.0,3.0,2.0,1159000.0
San Francisco,California,1125.0,2.0,1.0,925000.0
San Francisco,California,2032.0,4.0,3.0,1099900.0
San Francisco,California,,,,6750000.0
San Francisco,California,,,,1990000.0
San Francisco,California,1622.0,3.0,3.0,1490900.0
San Francisco,California,,,,1898000.0
San Francisco,California,916.0,2.0,2.0,392475.0
San Francisco,California,,,,200000.0
San Francisco,California,1175.0,2.0,1.0,919000.0
San Francisco,California,2920.0,6.0,,2280000.0
San Francisco,California,,,,399000.0
San Francisco,California,3000.0,,,1999000.0
San Francisco,California,1136.0,2.0,2.0,349507.0
San Francisco,California,12693.0,24.0,,6195000.0
San Francisco,California,4188.0,5.0,,3300000.0
San Francisco,California,1185.0,3.0,2.0,1100000.0
San Francisco,California,1020.0,2.0,,799000.0
San Francisco,California,9365.0,,,3425000.0
San Francisco,California,1256.0,3.0,,999000.0
San Francisco,California,2173.0,3.0,3.0,1995000.0
San Francisco,California,,,,998000.0
San Francisco,California,2355.0,3.0,,1898000.0
San Francisco,California,1772.0,3.0,2.0,2275000.0
San Francisco,California,494.0,,1.0,625500.0
San Francisco,California,657.0,1.0,1.0,739000.0
San Francisco,California,619.0,1.0,1.0,599000.0
San Francisco,California,1166.0,2.0,2.0,579500.0
San Francisco,California,535.0,1.0,1.0,376391.0
San Francisco,California,10734.0,8.0,8.0,25800000.0
San Francisco,California,3168.0,4.0,,1450000.0
San Francisco,California,546.0,,1.0,469000.0
San Francisco,California,611.0,1.0,1.0,529000.0
San Francisco,California,3200.0,2.0,,1400000.0
San Francisco,California,450.0,,1.0,545000.0
San Francisco,California,3487.0,5.0,4.0,5995000.0
San Francisco,California,,2.0,2.0,3500000.0
San Francisco,California,4854.0,6.0,,3000000.0
San Francisco,California,5332.0,4.0,4.0,5995000.0
San Francisco,California,5160.0,8.0,,4500000.0
San Francisco,California,7800.0,4.0,,5275000.0
San Francisco,California,995.0,2.0,2.0,993200.0
San Francisco,California,3135.0,3.0,5.0,4595000.0
San Francisco,California,1032.0,2.0,1.0,1121784.0
San Francisco,California,880.0,2.0,1.0,1062000.0
San Francisco,California,803.0,1.0,1.0,981800.0
San Francisco,California,1213.0,2.0,2.0,1243325.0
San Francisco,California,1213.0,2.0,2.0,1354000.0
San Francisco,California,,2.0,1.0,800000.0
San Francisco,California,6912.0,1.0,,3995000.0
San Francisco,California,2400.0,,,1749000.0
San Francisco,California,900.0,1.0,1.0,700000.0
San Francisco,California,3030.0,6.0,,1499000.0
San Francisco,California,2720.0,5.0,3.0,2660000.0
San Francisco,California,607.0,,1.0,739000.0
San Francisco,California,7725.0,12.0,,3250000.0
San Francisco,California,476.0,,1.0,373413.0
San Francisco,California,2027.0,3.0,3.0,3750000.0
San Francisco,California,6745.0,15.0,7.0,3900000.0
San Francisco,California,11509.0,,,5160000.0
San Francisco,California,4598.0,6.0,,2700000.0
San Francisco,California,1200.0,2.0,1.0,1450000.0
San Francisco,California,543.0,1.0,1.0,413821.0
San Francisco,California,,,,1700000.0
San Francisco,California,,,,1070000.0
San Francisco,California,1650.0,2.0,2.0,1495000.0
San Francisco,California,1522.0,3.0,3.0,1210000.0
San Francisco,California,,,,1495000.0
San Francisco,California,,,,2750000.0
San Francisco,California,680.0,1.0,1.0,870000.0
San Francisco,California,1103.0,2.0,2.0,578000.0
San Francisco,California,611.0,1.0,1.0,525000.0
San Francisco,California,5279.0,4.0,3.0,6500000.0
San Francisco,California,2044.0,3.0,2.0,1295000.0
San Francisco,California,1255.0,2.0,2.0,442418.0
San Francisco,California,8517.0,,,2795000.0
San Francisco,California,2700.0,7.0,3.0,999900.0
San Francisco,California,7170.0,6.0,7.0,15375000.0
San Francisco,California,1963.0,4.0,5.0,2180000.0
San Francisco,California,1238.0,2.0,2.0,969888.0
San Francisco,California,1777.0,2.0,3.0,2850000.0
San Francisco,California,,,,799000.0
San Francisco,California,4500.0,5.0,4.0,4395000.0
San Francisco,California,780.0,1.0,1.0,1700000.0
San Francisco,California,1952.0,3.0,3.0,3000000.0
San Francisco,California,,,,2100000.0
San Francisco,California,1616.0,2.0,2.0,2395000.0
San Francisco,California,,,,4995000.0
San Francisco,California,,,,1600000.0
San Francisco,California,658.0,1.0,1.0,539000.0
San Francisco,California,672.0,1.0,1.0,588888.0
San Francisco,California,8350.0,5.0,,18000000.0
San Francisco,California,,,,8000.0
San Francisco,California,1926.0,2.0,3.0,4900000.0
San Francisco,California,720.0,2.0,1.0,795000.0
San Francisco,California,1189.0,3.0,1.0,1550000.0
San Francisco,California,,5.0,5.0,15000000.0
San Francisco,California,2709.0,7.0,2.0,1899000.0
San Francisco,California,,,,795000.0
San Francisco,California,1131.0,2.0,2.0,1020000.0
San Francisco,California,3328.0,9.0,,1500000.0
San Francisco,California,14391.0,9.0,,8888888.0
San Francisco,California,779.0,,,416431.0
San Francisco,California,621.0,1.0,1.0,359000.0
San Francisco,California,,1.0,1.0,669000.0
San Francisco,California,,3.0,5.0,45000000.0
San Francisco,California,,,,388000.0
San Francisco,California,2486.0,4.0,,1900000.0
San Francisco,California,700.0,1.0,1.0,635000.0
San Francisco,California,1218.0,2.0,2.0,1499000.0
San Francisco,California,,1.0,2.0,1820000.0
San Francisco,California,3710.0,4.0,,1349000.0
San Francisco,California,,,,650000.0
San Francisco,California,,,,649000.0
San Francisco,California,1527.0,2.0,3.0,2995000.0
San Francisco,California,1347.0,3.0,1.0,999000.0
San Francisco,California,2110.0,4.0,4.0,2795000.0
San Francisco,California,1125.0,2.0,2.0,1495000.0
