,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment
0,Hồ Chí Minh,"Quận 2, Hồ Chí Minh",300.0,250m² - 350m²,200000000.0,5.0,5.0,60000000000.0,40 tỷ - 60 tỷ
1,Hà Nội,"Hai Bà Trưng, Hà Nội",82.0,50m² - 100m²,323170000.0,6.0,4.0,26500000000.0,20 tỷ - 40 tỷ
2,Hà Nội,"Cầu Giấy, Hà Nội",588.0,Trên 500m²,969390000.0,48.0,50.0,570000000000.0,100 tỷ - 1000 tỷ
3,Hà Nội,"Thường Tín, Hà Nội",87.0,50m² - 100m²,114940000.0,5.0,4.0,10000000000.0,5 tỷ - 10 tỷ
4,Hà Nội,"Chương Mỹ, Hà Nội",36.0,30m² - 50m²,64440000.0,4.0,4.0,2320000000.0,1 tỷ - 5 tỷ
5,Hà Nội,"Hai Bà Trưng, Hà Nội",82.0,50m² - 100m²,323170000.0,6.0,4.0,26500000000.0,20 tỷ - 40 tỷ
6,Hà Nội,"Cầu Giấy, Hà Nội",588.0,Trên 500m²,969390000.0,48.0,50.0,570000000000.0,100 tỷ - 1000 tỷ
7,Hà Nội,"Thường Tín, Hà Nội",87.0,50m² - 100m²,114940000.0,5.0,4.0,10000000000.0,5 tỷ - 10 tỷ
8,Hà Nội,"Tây Hồ, Hà Nội",150.0,100m² - 150m²,303200000.0,5.0,4.0,45480000000.0,40 tỷ - 60 tỷ
9,Hà Nội,"Thường Tín, Hà Nội",87.0,50m² - 100m²,114940000.0,5.0,5.0,10000000000.0,5 tỷ - 10 tỷ
10,Hà Nội,"Long Biên, Hà Nội",82.0,50m² - 100m²,307320000.0,6.0,8.0,25200000000.0,20 tỷ - 40 tỷ
11,Hà Nội,"Hà Đông, Hà Nội",180.0,150m² - 250m²,190000000.0,4.0,4.0,34200000000.000004,20 tỷ - 40 tỷ
12,Hồ Chí Minh,"Gò Vấp, Hồ Chí Minh",24.0,Dưới 30m²,133330000.00000001,2.0,2.0,3200000000.0,1 tỷ - 5 tỷ
13,Hà Nội,"Tây Hồ, Hà Nội",270.0,250m² - 350m²,400000000.0,4.0,4.0,108000000000.0,100 tỷ - 1000 tỷ
14,Hà Nội,"Đống Đa, Hà Nội",48.0,30m² - 50m²,258329999.99999997,6.0,4.0,12400000000.0,10 tỷ - 20 tỷ
