,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
0,Phú Thọ,"Thanh Thủy, Phú Thọ",400.0,350m² - 500m²,15750000.0,4.0,4.0,6300000000.0,5 tỷ - 10 tỷ,5
1,Bình Thuận,"Phan Thiết, Bình Thuận",160.0,150m² - 250m²,27500000.0,3.0,3.0,4400000000.0,1 tỷ - 5 tỷ,0
2,Bình Thuận,"Phan Thiết, Bình Thuận",160.0,150m² - 250m²,27500000.0,4.0,3.0,4400000000.0,1 tỷ - 5 tỷ,0
3,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,61110000.0,4.0,5.0,11000000000.0,10 tỷ - 20 tỷ,1
4,Nghệ An,"Vinh, Nghệ An",330.0,250m² - 350m²,28790000.0,5.0,5.0,9500000000.0,5 tỷ - 10 tỷ,4
5,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,61110000.0,4.0,5.0,11000000000.0,10 tỷ - 20 tỷ,1
6,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,61110000.0,4.0,4.0,11000000000.0,10 tỷ - 20 tỷ,1
7,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,61110000.0,4.0,4.0,11000000000.0,10 tỷ - 20 tỷ,1
8,Nghệ An,"Vinh, Nghệ An",88.0,50m² - 100m²,84090000.0,5.0,4.0,7400000000.0,5 tỷ - 10 tỷ,4
9,Thanh Hóa,"Sầm Sơn, Thanh Hóa",216.0,150m² - 250m²,53240000.0,8.0,9.0,11500000000.0,10 tỷ - 20 tỷ,6
10,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,61110000.0,4.0,5.0,11000000000.0,10 tỷ - 20 tỷ,1
11,Thanh Hóa,"Thanh Hóa, Thanh Hóa",67.5,50m² - 100m²,66670000.0,3.0,3.0,4500000000.0,1 tỷ - 5 tỷ,6
12,Hà Nam,"Kim Bảng, Hà Nam",105.0,100m² - 150m²,63810000.0,6.0,4.0,6700000000.0,5 tỷ - 10 tỷ,2
13,Bình Thuận,"Phan Thiết, Bình Thuận",400.0,350m² - 500m²,31250000.0,3.0,4.0,12500000000.0,10 tỷ - 20 tỷ,0
14,Kiên Giang,"Phú Quốc, Kiên Giang",80.0,50m² - 100m²,125000000.0,5.0,5.0,10000000000.0,5 tỷ - 10 tỷ,3
15,Bình Thuận,"Phan Thiết, Bình Thuận",88.0,50m² - 100m²,56820000.0,3.0,2.0,5000000000.0,1 tỷ - 5 tỷ,0
16,Phú Thọ,"Thanh Thủy, Phú Thọ",303.0,250m² - 350m²,22440000.0,2.0,2.0,6800000000.0,5 tỷ - 10 tỷ,5
17,Bắc Ninh,"Bắc Ninh, Bắc Ninh",106.0,100m² - 150m²,113210000.0,6.0,5.0,12000000000.0,10 tỷ - 20 tỷ,1
18,Bình Thuận,"Phan Thiết, Bình Thuận",187.5,150m² - 250m²,40000000.0,4.0,4.0,7500000000.0,5 tỷ - 10 tỷ,0
19,Thanh Hóa,"Thanh Hóa, Thanh Hóa",90.0,50m² - 100m²,43560000.0,4.0,5.0,3920000000.0,1 tỷ - 5 tỷ,6
20,Bình Thuận,"Phan Thiết, Bình Thuận",100.0,50m² - 100m²,35000000.0,2.0,2.0,3500000000.0,1 tỷ - 5 tỷ,0
21,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,77220000.0,4.0,5.0,13900000000.0,10 tỷ - 20 tỷ,1
22,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,61110000.0,4.0,5.0,11000000000.0,10 tỷ - 20 tỷ,1
23,Bắc Ninh,"Từ Sơn, Bắc Ninh",120.0,100m² - 150m²,63330000.0,4.0,5.0,7600000000.0,5 tỷ - 10 tỷ,1
24,Bình Thuận,"Phan Thiết, Bình Thuận",200.0,150m² - 250m²,29600000.0,3.0,3.0,5920000000.0,5 tỷ - 10 tỷ,0
25,Phú Thọ,"Thanh Thủy, Phú Thọ",460.0,350m² - 500m²,36960000.0,6.0,6.0,17000000000.0,10 tỷ - 20 tỷ,5
26,Bắc Ninh,"Từ Sơn, Bắc Ninh",120.0,100m² - 150m²,63330000.0,4.0,4.0,7600000000.0,5 tỷ - 10 tỷ,1
27,Bắc Ninh,"Từ Sơn, Bắc Ninh",120.0,100m² - 150m²,63330000.0,4.0,4.0,7600000000.0,5 tỷ - 10 tỷ,1
28,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,61110000.0,4.0,4.0,11000000000.0,10 tỷ - 20 tỷ,1
29,Bắc Ninh,"Từ Sơn, Bắc Ninh",120.0,100m² - 150m²,63330000.0,4.0,5.0,7600000000.0,5 tỷ - 10 tỷ,1
30,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,77780000.0,4.0,4.0,14000000000.0,10 tỷ - 20 tỷ,1
31,Thanh Hóa,"Sầm Sơn, Thanh Hóa",216.0,150m² - 250m²,48610000.0,7.0,8.0,10500000000.0,10 tỷ - 20 tỷ,6
32,Kiên Giang,"Phú Quốc, Kiên Giang",350.0,250m² - 350m²,28290000.0,3.0,3.0,9900000000.0,5 tỷ - 10 tỷ,3
33,Bình Thuận,"Phan Thiết, Bình Thuận",160.0,150m² - 250m²,28120000.0,4.0,4.0,4500000000.0,1 tỷ - 5 tỷ,0
34,Kiên Giang,"Rạch Giá, Kiên Giang",100.0,50m² - 100m²,18000000.0,2.0,2.0,1800000000.0,1 tỷ - 5 tỷ,3
35,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,77220000.0,5.0,5.0,13900000000.0,10 tỷ - 20 tỷ,1
36,Phú Thọ,"Thanh Thủy, Phú Thọ",303.0,250m² - 350m²,17820000.0,4.0,3.0,5400000000.0,5 tỷ - 10 tỷ,5
