,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
0,Bình Dương,"Bến Cát, Bình Dương",100.0,50m² - 100m²,21000000.0,1.0,1.0,2100000000.0,1 tỷ - 5 tỷ,0
1,Bình Dương,"Thuận An, Bình Dương",62.0,50m² - 100m²,59680000.0,4.0,4.0,3700000000.0,1 tỷ - 5 tỷ,0
2,Long An,"Bến Lức, Long An",90.0,50m² - 100m²,35560000.0,3.0,2.0,3200000000.0,1 tỷ - 5 tỷ,1
3,Long An,"Bến Lức, Long An",80.0,50m² - 100m²,37380000.0,3.0,4.0,2990000000.0,1 tỷ - 5 tỷ,1
4,Đồng Nai,"Nhơn Trạch, Đồng Nai",320.0,250m² - 350m²,50000000.0,3.0,3.0,16000000000.0,10 tỷ - 20 tỷ,2
5,Bình Dương,"Thuận An, Bình Dương",72.0,50m² - 100m²,36110000.0,3.0,3.0,2600000000.0,1 tỷ - 5 tỷ,0
6,Long An,"Đức Hòa, Long An",87.0,50m² - 100m²,43680000.0,2.0,2.0,3800000000.0,1 tỷ - 5 tỷ,1
7,Đồng Nai,"Nhơn Trạch, Đồng Nai",310.0,250m² - 350m²,50000000.0,4.0,3.0,15500000000.0,10 tỷ - 20 tỷ,2
8,Long An,"Bến Lức, Long An",300.0,250m² - 350m²,41000000.0,4.0,3.0,12300000000.0,10 tỷ - 20 tỷ,1
9,Đồng Nai,"Nhơn Trạch, Đồng Nai",160.0,150m² - 250m²,81250000.0,4.0,3.0,13000000000.0,10 tỷ - 20 tỷ,2
10,Bình Dương,"Thuận An, Bình Dương",90.0,50m² - 100m²,34440000.0,3.0,3.0,3100000000.0,1 tỷ - 5 tỷ,0
11,Đồng Nai,"Nhơn Trạch, Đồng Nai",334.0,250m² - 350m²,62580000.0,4.0,3.0,20900000000.0,20 tỷ - 40 tỷ,2
12,Long An,"Bến Lức, Long An",225.0,150m² - 250m²,40000000.0,4.0,4.0,9000000000.0,5 tỷ - 10 tỷ,1
13,Đồng Nai,"Biên Hòa, Đồng Nai",117.0,100m² - 150m²,51280000.0,4.0,4.0,6000000000.0,5 tỷ - 10 tỷ,2
14,Bình Dương,"Thuận An, Bình Dương",100.0,50m² - 100m²,33000000.0,2.0,2.0,3300000000.0,1 tỷ - 5 tỷ,0
15,Bình Dương,"Dĩ An, Bình Dương",61.0,50m² - 100m²,51640000.0,2.0,2.0,3150000000.0,1 tỷ - 5 tỷ,0
16,Bình Dương,"Bến Cát, Bình Dương",100.0,50m² - 100m²,16000000.0,2.0,1.0,1600000000.0,1 tỷ - 5 tỷ,0
17,Đồng Nai,"Nhơn Trạch, Đồng Nai",320.0,250m² - 350m²,55620000.0,3.0,3.0,17800000000.0,10 tỷ - 20 tỷ,2
18,Bình Dương,"Dĩ An, Bình Dương",67.7,50m² - 100m²,35300000.0,2.0,1.0,2390000000.0,1 tỷ - 5 tỷ,0
19,Bình Dương,"Thuận An, Bình Dương",76.5,50m² - 100m²,47060000.0,3.0,2.0,3600000000.0,1 tỷ - 5 tỷ,0
20,Bình Dương,"Dĩ An, Bình Dương",76.6,50m² - 100m²,66580000.0,3.0,3.0,5100000000.0,5 tỷ - 10 tỷ,0
21,Đồng Nai,"Biên Hòa, Đồng Nai",109.0,100m² - 150m²,10920000.0,1.0,1.0,1190000000.0,1 tỷ - 5 tỷ,2
22,Đồng Nai,"Biên Hòa, Đồng Nai",200.0,150m² - 250m²,45500000.0,5.0,4.0,9100000000.0,5 tỷ - 10 tỷ,2
23,Long An,"Bến Lức, Long An",80.0,50m² - 100m²,37380000.0,3.0,2.0,2990000000.0,1 tỷ - 5 tỷ,1
24,Đồng Nai,"Vĩnh Cửu, Đồng Nai",110.0,100m² - 150m²,18000000.0,4.0,2.0,1980000000.0,1 tỷ - 5 tỷ,2
