,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
0,Đà Nẵng,"Sơn Trà, Đà Nẵng",108.0,100m² - 150m²,150000000.0,5.0,5.0,16200000000.0,10 tỷ - 20 tỷ,3
1,Đà Nẵng,"Sơn Trà, Đà Nẵng",120.0,100m² - 150m²,126670000.0,8.0,10.0,15200000000.0,10 tỷ - 20 tỷ,3
2,Đà Nẵng,"Sơn Trà, Đà Nẵng",108.0,100m² - 150m²,142000000.0,5.0,6.0,15340000000.0,10 tỷ - 20 tỷ,3
3,Đà Nẵng,"Cẩm Lệ, Đà Nẵng",100.0,50m² - 100m²,59000000.0,3.0,3.0,5900000000.0,5 tỷ - 10 tỷ,3
4,Đà Nẵng,"Sơn Trà, Đà Nẵng",108.0,100m² - 150m²,140740000.0,10.0,12.0,15200000000.0,10 tỷ - 20 tỷ,3
5,Đà Nẵng,"Hải Châu, Đà Nẵng",76.0,50m² - 100m²,95370000.0,5.0,5.0,7250000000.0,5 tỷ - 10 tỷ,3
6,Đà Nẵng,"Sơn Trà, Đà Nẵng",108.0,100m² - 150m²,250000000.0,4.0,5.0,27000000000.0,20 tỷ - 40 tỷ,3
7,Đà Nẵng,"Liên Chiểu, Đà Nẵng",70.0,50m² - 100m²,28570000.0,1.0,1.0,2000000000.0,1 tỷ - 5 tỷ,3
8,Đà Nẵng,"Sơn Trà, Đà Nẵng",125.0,100m² - 150m²,37600000.0,2.0,2.0,4700000000.0,1 tỷ - 5 tỷ,3
9,Lâm Đồng,"Đà Lạt, Lâm Đồng",357.0,350m² - 500m²,217860000.0,3.0,3.0,77780000000.0,60 tỷ - 100 tỷ,2
10,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",145.0,100m² - 150m²,310350000.0,24.0,26.0,45000000000.0,40 tỷ - 60 tỷ,3
11,Khánh Hòa,"Nha Trang, Khánh Hòa",108.0,100m² - 150m²,69440000.0,4.0,4.0,7500000000.0,5 tỷ - 10 tỷ,0
12,Đà Nẵng,"Liên Chiểu, Đà Nẵng",85.4,50m² - 100m²,36300000.0,3.0,2.0,3100000000.0,1 tỷ - 5 tỷ,3
13,Đà Nẵng,"Hải Châu, Đà Nẵng",145.0,100m² - 150m²,189660000.0,17.0,17.0,27500000000.0,20 tỷ - 40 tỷ,3
14,Khánh Hòa,"Nha Trang, Khánh Hòa",65.5,50m² - 100m²,351140000.0,4.0,5.0,23000000000.0,20 tỷ - 40 tỷ,0
15,Đà Nẵng,"Hải Châu, Đà Nẵng",150.0,100m² - 150m²,61330000.0,7.0,4.0,9200000000.0,5 tỷ - 10 tỷ,3
16,Đà Nẵng,"Cẩm Lệ, Đà Nẵng",125.0,100m² - 150m²,54000000.0,9.0,9.0,6750000000.0,5 tỷ - 10 tỷ,3
17,Khánh Hòa,"Nha Trang, Khánh Hòa",150.0,100m² - 150m²,34670000.0,2.0,3.0,5200000000.0,5 tỷ - 10 tỷ,0
18,Đà Nẵng,"Hải Châu, Đà Nẵng",51.0,50m² - 100m²,82350000.0,3.0,3.0,4200000000.0,1 tỷ - 5 tỷ,3
19,Đà Nẵng,"Sơn Trà, Đà Nẵng",120.0,100m² - 150m²,51670000.0,3.0,3.0,6200000000.0,5 tỷ - 10 tỷ,3
